device=cuda dataset=fmnist(real) clients=20 malicious=4 defense=multi_krum attack=constrained_backdoor
round   1 | acc=0.4591 | bsr=0.228 | agg=1.12s | det_auroc=0.656 | tpr@5=0.00
round   2 | acc=0.6168 | bsr=0.043 | agg=1.11s | det_auroc=0.938 | tpr@5=0.50
round   3 | acc=0.6931 | bsr=0.026 | agg=1.11s | det_auroc=1.000 | tpr@5=1.00
round   4 | acc=0.7185 | bsr=0.027 | agg=1.11s | det_auroc=1.000 | tpr@5=1.00
round   5 | acc=0.7503 | bsr=0.028 | agg=1.11s | det_auroc=1.000 | tpr@5=1.00
round   6 | acc=0.7547 | bsr=0.020 | agg=1.10s | det_auroc=1.000 | tpr@5=1.00
round   7 | acc=0.7720 | bsr=0.023 | agg=1.10s | det_auroc=1.000 | tpr@5=1.00
round   8 | acc=0.7770 | bsr=0.029 | agg=1.10s | det_auroc=1.000 | tpr@5=1.00
round   9 | acc=0.7878 | bsr=0.026 | agg=1.10s | det_auroc=1.000 | tpr@5=1.00
round  10 | acc=0.7964 | bsr=0.021 | agg=1.10s | det_auroc=1.000 | tpr@5=1.00
round  11 | acc=0.7994 | bsr=0.025 | agg=1.10s | det_auroc=1.000 | tpr@5=1.00
round  12 | acc=0.8051 | bsr=0.027 | agg=1.10s | det_auroc=1.000 | tpr@5=1.00
round  13 | acc=0.8074 | bsr=0.019 | agg=1.10s | det_auroc=1.000 | tpr@5=1.00
round  14 | acc=0.8105 | bsr=0.023 | agg=1.10s | det_auroc=1.000 | tpr@5=1.00
round  15 | acc=0.8205 | bsr=0.023 | agg=1.10s | det_auroc=1.000 | tpr@5=1.00
round  16 | acc=0.8245 | bsr=0.020 | agg=1.10s | det_auroc=1.000 | tpr@5=1.00
round  17 | acc=0.8244 | bsr=0.021 | agg=1.10s | det_auroc=1.000 | tpr@5=1.00
round  18 | acc=0.8345 | bsr=0.019 | agg=1.10s | det_auroc=1.000 | tpr@5=1.00
round  19 | acc=0.8361 | bsr=0.019 | agg=1.10s | det_auroc=1.000 | tpr@5=1.00
round  20 | acc=0.8389 | bsr=0.018 | agg=1.12s | det_auroc=1.000 | tpr@5=1.00
round  21 | acc=0.8384 | bsr=0.017 | agg=1.12s | det_auroc=1.000 | tpr@5=1.00
round  22 | acc=0.8413 | bsr=0.018 | agg=1.12s | det_auroc=1.000 | tpr@5=1.00
round  23 | acc=0.8469 | bsr=0.017 | agg=1.10s | det_auroc=1.000 | tpr@5=1.00
round  24 | acc=0.8459 | bsr=0.017 | agg=1.10s | det_auroc=1.000 | tpr@5=1.00
round  25 | acc=0.8494 | bsr=0.017 | agg=1.10s | det_auroc=1.000 | tpr@5=1.00
round  26 | acc=0.8535 | bsr=0.017 | agg=1.11s | det_auroc=1.000 | tpr@5=1.00
round  27 | acc=0.8558 | bsr=0.017 | agg=1.10s | det_auroc=1.000 | tpr@5=1.00
round  28 | acc=0.8536 | bsr=0.012 | agg=1.10s | det_auroc=1.000 | tpr@5=1.00
round  29 | acc=0.8572 | bsr=0.015 | agg=1.10s | det_auroc=1.000 | tpr@5=1.00
round  30 | acc=0.8572 | bsr=0.013 | agg=1.10s | det_auroc=1.000 | tpr@5=1.00
round  31 | acc=0.8580 | bsr=0.018 | agg=1.10s | det_auroc=1.000 | tpr@5=1.00
round  32 | acc=0.8600 | bsr=0.012 | agg=1.10s | det_auroc=1.000 | tpr@5=1.00
round  33 | acc=0.8598 | bsr=0.014 | agg=1.10s | det_auroc=1.000 | tpr@5=1.00
round  34 | acc=0.8649 | bsr=0.015 | agg=1.10s | det_auroc=1.000 | tpr@5=1.00
round  35 | acc=0.8636 | bsr=0.012 | agg=1.10s | det_auroc=1.000 | tpr@5=1.00
round  36 | acc=0.8648 | bsr=0.016 | agg=1.10s | det_auroc=1.000 | tpr@5=1.00
round  37 | acc=0.8664 | bsr=0.015 | agg=1.10s | det_auroc=1.000 | tpr@5=1.00
round  38 | acc=0.8673 | bsr=0.014 | agg=1.10s | det_auroc=1.000 | tpr@5=1.00
round  39 | acc=0.8686 | bsr=0.014 | agg=1.10s | det_auroc=1.000 | tpr@5=1.00
round  40 | acc=0.8704 | bsr=0.015 | agg=1.11s | det_auroc=1.000 | tpr@5=1.00
round  41 | acc=0.8676 | bsr=0.009 | agg=1.10s | det_auroc=1.000 | tpr@5=1.00
round  42 | acc=0.8717 | bsr=0.012 | agg=1.10s | det_auroc=1.000 | tpr@5=1.00
round  43 | acc=0.8706 | bsr=0.014 | agg=1.10s | det_auroc=1.000 | tpr@5=1.00
round  44 | acc=0.8713 | bsr=0.011 | agg=1.10s | det_auroc=1.000 | tpr@5=1.00
round  45 | acc=0.8732 | bsr=0.014 | agg=1.10s | det_auroc=1.000 | tpr@5=1.00
round  46 | acc=0.8741 | bsr=0.010 | agg=1.10s | det_auroc=1.000 | tpr@5=1.00
round  47 | acc=0.8727 | bsr=0.012 | agg=1.10s | det_auroc=1.000 | tpr@5=1.00
round  48 | acc=0.8788 | bsr=0.013 | agg=1.10s | det_auroc=1.000 | tpr@5=1.00
round  49 | acc=0.8763 | bsr=0.013 | agg=1.11s | det_auroc=1.000 | tpr@5=1.00
round  50 | acc=0.8785 | bsr=0.014 | agg=1.12s | det_auroc=1.000 | tpr@5=1.00
round  51 | acc=0.8793 | bsr=0.011 | agg=1.10s | det_auroc=1.000 | tpr@5=1.00
round  52 | acc=0.8790 | bsr=0.017 | agg=1.10s | det_auroc=1.000 | tpr@5=1.00
round  53 | acc=0.8827 | bsr=0.013 | agg=1.10s | det_auroc=1.000 | tpr@5=1.00
round  54 | acc=0.8797 | bsr=0.014 | agg=1.10s | det_auroc=1.000 | tpr@5=1.00
round  55 | acc=0.8814 | bsr=0.014 | agg=1.10s | det_auroc=1.000 | tpr@5=1.00
round  56 | acc=0.8807 | bsr=0.010 | agg=1.10s | det_auroc=1.000 | tpr@5=1.00
round  57 | acc=0.8842 | bsr=0.015 | agg=1.12s | det_auroc=1.000 | tpr@5=1.00
round  58 | acc=0.8832 | bsr=0.011 | agg=1.10s | det_auroc=1.000 | tpr@5=1.00
round  59 | acc=0.8796 | bsr=0.013 | agg=1.10s | det_auroc=1.000 | tpr@5=1.00
round  60 | acc=0.8835 | bsr=0.013 | agg=1.10s | det_auroc=1.000 | tpr@5=1.00
