device=cuda dataset=fmnist(real) clients=20 malicious=4 defense=ecf attack=adaptive_ecf
round   1 | acc=0.0546 | bsr=0.000 | agg=0.49s | det_auroc=0.781 | tpr@5=0.00
round   2 | acc=0.1324 | bsr=0.011 | agg=0.43s | det_auroc=0.766 | tpr@5=0.00
round   3 | acc=0.3484 | bsr=0.438 | agg=0.44s | det_auroc=0.797 | tpr@5=0.00
round   4 | acc=0.3983 | bsr=0.487 | agg=0.44s | det_auroc=0.922 | tpr@5=0.50
round   5 | acc=0.5041 | bsr=0.421 | agg=0.46s | det_auroc=0.969 | tpr@5=0.50
round   6 | acc=0.6107 | bsr=0.322 | agg=0.50s | det_auroc=0.984 | tpr@5=0.75
round   7 | acc=0.6693 | bsr=0.234 | agg=0.48s | det_auroc=0.984 | tpr@5=0.75
round   8 | acc=0.6941 | bsr=0.154 | agg=0.51s | det_auroc=0.922 | tpr@5=0.25
round   9 | acc=0.6931 | bsr=0.123 | agg=0.44s | det_auroc=0.891 | tpr@5=0.00
round  10 | acc=0.6989 | bsr=0.110 | agg=0.49s | det_auroc=0.719 | tpr@5=0.00
round  11 | acc=0.6974 | bsr=0.095 | agg=0.46s | det_auroc=0.656 | tpr@5=0.00
round  12 | acc=0.7027 | bsr=0.094 | agg=0.45s | det_auroc=0.609 | tpr@5=0.00
round  13 | acc=0.7148 | bsr=0.096 | agg=0.42s | det_auroc=0.516 | tpr@5=0.00
round  14 | acc=0.7222 | bsr=0.096 | agg=0.44s | det_auroc=0.484 | tpr@5=0.00
round  15 | acc=0.7254 | bsr=0.093 | agg=0.53s | det_auroc=0.469 | tpr@5=0.00
round  16 | acc=0.7313 | bsr=0.090 | agg=0.48s | det_auroc=0.422 | tpr@5=0.00
round  17 | acc=0.7337 | bsr=0.093 | agg=0.43s | det_auroc=0.500 | tpr@5=0.00
round  18 | acc=0.7385 | bsr=0.097 | agg=0.47s | det_auroc=0.391 | tpr@5=0.00
round  19 | acc=0.7444 | bsr=0.098 | agg=0.44s | det_auroc=0.344 | tpr@5=0.00
round  20 | acc=0.7462 | bsr=0.106 | agg=0.43s | det_auroc=0.281 | tpr@5=0.00
round  21 | acc=0.7492 | bsr=0.110 | agg=0.45s | det_auroc=0.312 | tpr@5=0.00
round  22 | acc=0.7499 | bsr=0.109 | agg=0.43s | det_auroc=0.297 | tpr@5=0.00
round  23 | acc=0.7526 | bsr=0.110 | agg=0.44s | det_auroc=0.219 | tpr@5=0.00
round  24 | acc=0.7569 | bsr=0.112 | agg=0.45s | det_auroc=0.359 | tpr@5=0.00
round  25 | acc=0.7606 | bsr=0.118 | agg=0.46s | det_auroc=0.219 | tpr@5=0.00
round  26 | acc=0.7617 | bsr=0.116 | agg=0.42s | det_auroc=0.266 | tpr@5=0.00
round  27 | acc=0.7639 | bsr=0.124 | agg=0.48s | det_auroc=0.156 | tpr@5=0.00
round  28 | acc=0.7643 | bsr=0.127 | agg=0.50s | det_auroc=0.203 | tpr@5=0.00
round  29 | acc=0.7660 | bsr=0.130 | agg=0.44s | det_auroc=0.234 | tpr@5=0.00
round  30 | acc=0.7675 | bsr=0.141 | agg=0.42s | det_auroc=0.250 | tpr@5=0.00
round  31 | acc=0.7675 | bsr=0.142 | agg=0.49s | det_auroc=0.281 | tpr@5=0.00
round  32 | acc=0.7715 | bsr=0.146 | agg=0.47s | det_auroc=0.109 | tpr@5=0.00
round  33 | acc=0.7733 | bsr=0.154 | agg=0.47s | det_auroc=0.172 | tpr@5=0.00
round  34 | acc=0.7747 | bsr=0.159 | agg=0.49s | det_auroc=0.219 | tpr@5=0.00
round  35 | acc=0.7774 | bsr=0.166 | agg=0.52s | det_auroc=0.266 | tpr@5=0.00
round  36 | acc=0.7799 | bsr=0.172 | agg=0.50s | det_auroc=0.109 | tpr@5=0.00
round  37 | acc=0.7808 | bsr=0.179 | agg=0.45s | det_auroc=0.031 | tpr@5=0.00
round  38 | acc=0.7817 | bsr=0.185 | agg=0.44s | det_auroc=0.188 | tpr@5=0.00
round  39 | acc=0.7846 | bsr=0.187 | agg=0.46s | det_auroc=0.109 | tpr@5=0.00
round  40 | acc=0.7855 | bsr=0.192 | agg=0.50s | det_auroc=0.094 | tpr@5=0.00
round  41 | acc=0.7867 | bsr=0.199 | agg=0.49s | det_auroc=0.234 | tpr@5=0.00
round  42 | acc=0.7892 | bsr=0.207 | agg=0.43s | det_auroc=0.266 | tpr@5=0.00
round  43 | acc=0.7914 | bsr=0.223 | agg=0.40s | det_auroc=0.062 | tpr@5=0.00
round  44 | acc=0.7932 | bsr=0.233 | agg=0.42s | det_auroc=0.125 | tpr@5=0.00
round  45 | acc=0.7936 | bsr=0.235 | agg=0.42s | det_auroc=0.062 | tpr@5=0.00
round  46 | acc=0.7955 | bsr=0.244 | agg=0.43s | det_auroc=0.125 | tpr@5=0.00
round  47 | acc=0.7968 | bsr=0.252 | agg=0.47s | det_auroc=0.078 | tpr@5=0.00
round  48 | acc=0.7977 | bsr=0.264 | agg=0.44s | det_auroc=0.188 | tpr@5=0.00
round  49 | acc=0.7988 | bsr=0.274 | agg=0.46s | det_auroc=0.172 | tpr@5=0.00
round  50 | acc=0.7998 | bsr=0.284 | agg=0.44s | det_auroc=0.062 | tpr@5=0.00
round  51 | acc=0.8015 | bsr=0.291 | agg=0.45s | det_auroc=0.109 | tpr@5=0.00
round  52 | acc=0.8029 | bsr=0.299 | agg=0.47s | det_auroc=0.219 | tpr@5=0.00
round  53 | acc=0.8037 | bsr=0.313 | agg=0.42s | det_auroc=0.219 | tpr@5=0.00
round  54 | acc=0.8044 | bsr=0.322 | agg=0.42s | det_auroc=0.141 | tpr@5=0.00
round  55 | acc=0.8058 | bsr=0.332 | agg=0.43s | det_auroc=0.219 | tpr@5=0.00
round  56 | acc=0.8066 | bsr=0.347 | agg=0.45s | det_auroc=0.188 | tpr@5=0.00
round  57 | acc=0.8085 | bsr=0.358 | agg=0.43s | det_auroc=0.203 | tpr@5=0.00
round  58 | acc=0.8098 | bsr=0.365 | agg=0.40s | det_auroc=0.156 | tpr@5=0.00
round  59 | acc=0.8095 | bsr=0.380 | agg=0.43s | det_auroc=0.188 | tpr@5=0.00
round  60 | acc=0.8107 | bsr=0.392 | agg=0.46s | det_auroc=0.344 | tpr@5=0.00
