device=cuda dataset=fmnist(real) clients=20 malicious=4 defense=ecf attack=constrained_backdoor
round   1 | acc=0.0545 | bsr=0.000 | agg=0.49s | det_auroc=0.781 | tpr@5=0.00
round   2 | acc=0.1325 | bsr=0.011 | agg=0.44s | det_auroc=0.766 | tpr@5=0.00
round   3 | acc=0.3487 | bsr=0.439 | agg=0.43s | det_auroc=0.797 | tpr@5=0.00
round   4 | acc=0.3980 | bsr=0.488 | agg=0.42s | det_auroc=0.922 | tpr@5=0.50
round   5 | acc=0.5025 | bsr=0.425 | agg=0.47s | det_auroc=0.969 | tpr@5=0.50
round   6 | acc=0.6108 | bsr=0.320 | agg=0.47s | det_auroc=1.000 | tpr@5=1.00
round   7 | acc=0.6674 | bsr=0.235 | agg=0.55s | det_auroc=0.984 | tpr@5=0.75
round   8 | acc=0.6948 | bsr=0.154 | agg=0.45s | det_auroc=0.922 | tpr@5=0.25
round   9 | acc=0.6926 | bsr=0.123 | agg=0.50s | det_auroc=0.891 | tpr@5=0.00
round  10 | acc=0.6977 | bsr=0.110 | agg=0.43s | det_auroc=0.719 | tpr@5=0.00
round  11 | acc=0.6947 | bsr=0.094 | agg=0.43s | det_auroc=0.641 | tpr@5=0.00
round  12 | acc=0.7025 | bsr=0.093 | agg=0.45s | det_auroc=0.625 | tpr@5=0.00
round  13 | acc=0.7144 | bsr=0.095 | agg=0.44s | det_auroc=0.516 | tpr@5=0.00
round  14 | acc=0.7220 | bsr=0.095 | agg=0.44s | det_auroc=0.531 | tpr@5=0.00
round  15 | acc=0.7257 | bsr=0.092 | agg=0.47s | det_auroc=0.453 | tpr@5=0.00
round  16 | acc=0.7310 | bsr=0.090 | agg=0.43s | det_auroc=0.422 | tpr@5=0.00
round  17 | acc=0.7334 | bsr=0.093 | agg=0.43s | det_auroc=0.500 | tpr@5=0.00
round  18 | acc=0.7388 | bsr=0.099 | agg=0.44s | det_auroc=0.375 | tpr@5=0.00
round  19 | acc=0.7433 | bsr=0.099 | agg=0.43s | det_auroc=0.359 | tpr@5=0.00
round  20 | acc=0.7460 | bsr=0.107 | agg=0.43s | det_auroc=0.281 | tpr@5=0.00
round  21 | acc=0.7480 | bsr=0.111 | agg=0.44s | det_auroc=0.344 | tpr@5=0.00
round  22 | acc=0.7498 | bsr=0.112 | agg=0.49s | det_auroc=0.297 | tpr@5=0.00
