round   1 | acc=0.3685 | bsr=nan | agg=1.12s | det_auroc=0.141 | tpr@5=0.00
round   2 | acc=0.6406 | bsr=nan | agg=1.12s | det_auroc=0.938 | tpr@5=0.50
round   3 | acc=0.6899 | bsr=nan | agg=1.13s | det_auroc=1.000 | tpr@5=1.00
round   4 | acc=0.7361 | bsr=nan | agg=1.13s | det_auroc=1.000 | tpr@5=1.00
round   5 | acc=0.7275 | bsr=nan | agg=1.11s | det_auroc=1.000 | tpr@5=1.00
round   6 | acc=0.7518 | bsr=nan | agg=1.11s | det_auroc=1.000 | tpr@5=1.00
round   7 | acc=0.7703 | bsr=nan | agg=1.10s | det_auroc=1.000 | tpr@5=1.00
round   8 | acc=0.7732 | bsr=nan | agg=1.12s | det_auroc=1.000 | tpr@5=1.00
round   9 | acc=0.7781 | bsr=nan | agg=1.11s | det_auroc=1.000 | tpr@5=1.00
round  10 | acc=0.7923 | bsr=nan | agg=1.13s | det_auroc=1.000 | tpr@5=1.00
round  11 | acc=0.7999 | bsr=nan | agg=1.11s | det_auroc=1.000 | tpr@5=1.00
round  12 | acc=0.8009 | bsr=nan | agg=1.10s | det_auroc=1.000 | tpr@5=1.00
round  13 | acc=0.8060 | bsr=nan | agg=1.10s | det_auroc=1.000 | tpr@5=1.00
round  14 | acc=0.8142 | bsr=nan | agg=1.11s | det_auroc=1.000 | tpr@5=1.00
round  15 | acc=0.8194 | bsr=nan | agg=1.11s | det_auroc=1.000 | tpr@5=1.00
round  16 | acc=0.8133 | bsr=nan | agg=1.09s | det_auroc=1.000 | tpr@5=1.00
round  17 | acc=0.8251 | bsr=nan | agg=1.13s | det_auroc=1.000 | tpr@5=1.00
round  18 | acc=0.8245 | bsr=nan | agg=1.10s | det_auroc=1.000 | tpr@5=1.00
round  19 | acc=0.8353 | bsr=nan | agg=1.13s | det_auroc=1.000 | tpr@5=1.00
round  20 | acc=0.8342 | bsr=nan | agg=1.12s | det_auroc=1.000 | tpr@5=1.00
round  21 | acc=0.8382 | bsr=nan | agg=1.11s | det_auroc=1.000 | tpr@5=1.00
round  22 | acc=0.8404 | bsr=nan | agg=1.11s | det_auroc=1.000 | tpr@5=1.00
round  23 | acc=0.8464 | bsr=nan | agg=1.12s | det_auroc=1.000 | tpr@5=1.00
round  24 | acc=0.8470 | bsr=nan | agg=1.11s | det_auroc=1.000 | tpr@5=1.00
round  25 | acc=0.8528 | bsr=nan | agg=1.11s | det_auroc=1.000 | tpr@5=1.00
round  26 | acc=0.8510 | bsr=nan | agg=1.13s | det_auroc=1.000 | tpr@5=1.00
round  27 | acc=0.8508 | bsr=nan | agg=1.13s | det_auroc=1.000 | tpr@5=1.00
round  28 | acc=0.8553 | bsr=nan | agg=1.13s | det_auroc=1.000 | tpr@5=1.00
round  29 | acc=0.8546 | bsr=nan | agg=1.12s | det_auroc=1.000 | tpr@5=1.00
round  30 | acc=0.8548 | bsr=nan | agg=1.11s | det_auroc=1.000 | tpr@5=1.00
round  31 | acc=0.8567 | bsr=nan | agg=1.11s | det_auroc=1.000 | tpr@5=1.00
round  32 | acc=0.8560 | bsr=nan | agg=1.10s | det_auroc=1.000 | tpr@5=1.00
round  33 | acc=0.8631 | bsr=nan | agg=1.14s | det_auroc=1.000 | tpr@5=1.00
round  34 | acc=0.8601 | bsr=nan | agg=1.14s | det_auroc=1.000 | tpr@5=1.00
round  35 | acc=0.8597 | bsr=nan | agg=1.10s | det_auroc=1.000 | tpr@5=1.00
round  36 | acc=0.8654 | bsr=nan | agg=1.12s | det_auroc=1.000 | tpr@5=1.00
round  37 | acc=0.8645 | bsr=nan | agg=1.11s | det_auroc=1.000 | tpr@5=1.00
round  38 | acc=0.8659 | bsr=nan | agg=1.12s | det_auroc=1.000 | tpr@5=1.00
round  39 | acc=0.8683 | bsr=nan | agg=1.13s | det_auroc=1.000 | tpr@5=1.00
round  40 | acc=0.8687 | bsr=nan | agg=1.12s | det_auroc=1.000 | tpr@5=1.00
round  41 | acc=0.8673 | bsr=nan | agg=1.11s | det_auroc=1.000 | tpr@5=1.00
round  42 | acc=0.8717 | bsr=nan | agg=1.12s | det_auroc=1.000 | tpr@5=1.00
round  43 | acc=0.8719 | bsr=nan | agg=1.14s | det_auroc=1.000 | tpr@5=1.00
round  44 | acc=0.8724 | bsr=nan | agg=1.13s | det_auroc=1.000 | tpr@5=1.00
round  45 | acc=0.8736 | bsr=nan | agg=1.14s | det_auroc=1.000 | tpr@5=1.00
round  46 | acc=0.8773 | bsr=nan | agg=1.12s | det_auroc=1.000 | tpr@5=1.00
round  47 | acc=0.8759 | bsr=nan | agg=1.13s | det_auroc=1.000 | tpr@5=1.00
round  48 | acc=0.8754 | bsr=nan | agg=1.12s | det_auroc=1.000 | tpr@5=1.00
round  49 | acc=0.8754 | bsr=nan | agg=1.12s | det_auroc=1.000 | tpr@5=1.00
round  50 | acc=0.8756 | bsr=nan | agg=1.12s | det_auroc=1.000 | tpr@5=1.00
round  51 | acc=0.8771 | bsr=nan | agg=1.12s | det_auroc=1.000 | tpr@5=1.00
round  52 | acc=0.8797 | bsr=nan | agg=1.14s | det_auroc=1.000 | tpr@5=1.00
round  53 | acc=0.8818 | bsr=nan | agg=1.12s | det_auroc=1.000 | tpr@5=1.00
round  54 | acc=0.8794 | bsr=nan | agg=1.14s | det_auroc=1.000 | tpr@5=1.00
round  55 | acc=0.8807 | bsr=nan | agg=1.12s | det_auroc=1.000 | tpr@5=1.00
round  56 | acc=0.8800 | bsr=nan | agg=1.14s | det_auroc=1.000 | tpr@5=1.00
round  57 | acc=0.8830 | bsr=nan | agg=1.12s | det_auroc=1.000 | tpr@5=1.00
round  58 | acc=0.8816 | bsr=nan | agg=1.16s | det_auroc=1.000 | tpr@5=1.00
round  59 | acc=0.8851 | bsr=nan | agg=1.11s | det_auroc=1.000 | tpr@5=1.00
round  60 | acc=0.8842 | bsr=nan | agg=1.12s | det_auroc=1.000 | tpr@5=1.00
