round   1 | acc=0.0575 | bsr=nan | agg=0.56s | det_auroc=0.062 | tpr@5=0.00
round   2 | acc=0.0858 | bsr=nan | agg=0.55s | det_auroc=0.453 | tpr@5=0.00
round   3 | acc=0.1887 | bsr=nan | agg=0.51s | det_auroc=0.562 | tpr@5=0.00
round   4 | acc=0.3835 | bsr=nan | agg=0.52s | det_auroc=0.688 | tpr@5=0.00
round   5 | acc=0.5444 | bsr=nan | agg=0.55s | det_auroc=0.875 | tpr@5=0.00
round   6 | acc=0.6018 | bsr=nan | agg=0.52s | det_auroc=0.875 | tpr@5=0.00
round   7 | acc=0.6279 | bsr=nan | agg=0.44s | det_auroc=0.625 | tpr@5=0.00
round   8 | acc=0.6524 | bsr=nan | agg=0.42s | det_auroc=0.375 | tpr@5=0.00
round   9 | acc=0.6589 | bsr=nan | agg=0.55s | det_auroc=0.125 | tpr@5=0.00
round  10 | acc=0.6644 | bsr=nan | agg=0.51s | det_auroc=0.000 | tpr@5=0.00
round  11 | acc=0.6796 | bsr=nan | agg=0.56s | det_auroc=0.000 | tpr@5=0.00
round  12 | acc=0.6856 | bsr=nan | agg=0.53s | det_auroc=0.000 | tpr@5=0.00
round  13 | acc=0.6934 | bsr=nan | agg=0.54s | det_auroc=0.000 | tpr@5=0.00
round  14 | acc=0.6966 | bsr=nan | agg=0.45s | det_auroc=0.000 | tpr@5=0.00
round  15 | acc=0.6987 | bsr=nan | agg=0.57s | det_auroc=0.000 | tpr@5=0.00
round  16 | acc=0.7105 | bsr=nan | agg=0.44s | det_auroc=0.000 | tpr@5=0.00
round  17 | acc=0.7167 | bsr=nan | agg=0.49s | det_auroc=0.000 | tpr@5=0.00
round  18 | acc=0.7222 | bsr=nan | agg=0.44s | det_auroc=0.000 | tpr@5=0.00
round  19 | acc=0.7297 | bsr=nan | agg=0.56s | det_auroc=0.000 | tpr@5=0.00
round  20 | acc=0.7329 | bsr=nan | agg=0.56s | det_auroc=0.000 | tpr@5=0.00
