round   1 | acc=0.4134 | bsr=nan | agg=0.19s
round   2 | acc=0.5531 | bsr=nan | agg=0.18s
round   3 | acc=0.6401 | bsr=nan | agg=0.20s
round   4 | acc=0.6830 | bsr=nan | agg=0.19s
round   5 | acc=0.6966 | bsr=nan | agg=0.19s
round   6 | acc=0.7073 | bsr=nan | agg=0.17s
round   7 | acc=0.7351 | bsr=nan | agg=0.19s
round   8 | acc=0.7376 | bsr=nan | agg=0.18s
round   9 | acc=0.7248 | bsr=nan | agg=0.18s
round  10 | acc=0.7463 | bsr=nan | agg=0.18s
round  11 | acc=0.7575 | bsr=nan | agg=0.17s
round  12 | acc=0.7591 | bsr=nan | agg=0.18s
round  13 | acc=0.7674 | bsr=nan | agg=0.18s
round  14 | acc=0.7660 | bsr=nan | agg=0.18s
round  15 | acc=0.7723 | bsr=nan | agg=0.18s
round  16 | acc=0.7754 | bsr=nan | agg=0.16s
round  17 | acc=0.7827 | bsr=nan | agg=0.18s
round  18 | acc=0.7861 | bsr=nan | agg=0.18s
round  19 | acc=0.7910 | bsr=nan | agg=0.19s
round  20 | acc=0.7885 | bsr=nan | agg=0.20s
round  21 | acc=0.7917 | bsr=nan | agg=0.18s
round  22 | acc=0.7879 | bsr=nan | agg=0.18s
round  23 | acc=0.8024 | bsr=nan | agg=0.19s
round  24 | acc=0.8007 | bsr=nan | agg=0.19s
round  25 | acc=0.8083 | bsr=nan | agg=0.18s
round  26 | acc=0.8092 | bsr=nan | agg=0.19s
round  27 | acc=0.8050 | bsr=nan | agg=0.19s
round  28 | acc=0.8123 | bsr=nan | agg=0.19s
round  29 | acc=0.8113 | bsr=nan | agg=0.18s
round  30 | acc=0.8156 | bsr=nan | agg=0.18s
round  31 | acc=0.8124 | bsr=nan | agg=0.18s
round  32 | acc=0.8128 | bsr=nan | agg=0.18s
round  33 | acc=0.8227 | bsr=nan | agg=0.18s
round  34 | acc=0.8201 | bsr=nan | agg=0.19s
round  35 | acc=0.8208 | bsr=nan | agg=0.19s
round  36 | acc=0.8286 | bsr=nan | agg=0.19s
round  37 | acc=0.8307 | bsr=nan | agg=0.18s
round  38 | acc=0.8300 | bsr=nan | agg=0.18s
round  39 | acc=0.8328 | bsr=nan | agg=0.19s
round  40 | acc=0.8344 | bsr=nan | agg=0.18s
round  41 | acc=0.8354 | bsr=nan | agg=0.19s
round  42 | acc=0.8447 | bsr=nan | agg=0.20s
round  43 | acc=0.8406 | bsr=nan | agg=0.18s
round  44 | acc=0.8353 | bsr=nan | agg=0.20s
round  45 | acc=0.8440 | bsr=nan | agg=0.19s
round  46 | acc=0.8471 | bsr=nan | agg=0.19s
round  47 | acc=0.8450 | bsr=nan | agg=0.19s
round  48 | acc=0.8463 | bsr=nan | agg=0.21s
round  49 | acc=0.8458 | bsr=nan | agg=0.22s
round  50 | acc=0.8420 | bsr=nan | agg=0.22s
round  51 | acc=0.8436 | bsr=nan | agg=0.20s
round  52 | acc=0.8513 | bsr=nan | agg=0.21s
round  53 | acc=0.8537 | bsr=nan | agg=0.21s
round  54 | acc=0.8438 | bsr=nan | agg=0.21s
round  55 | acc=0.8469 | bsr=nan | agg=0.20s
round  56 | acc=0.8482 | bsr=nan | agg=0.21s
round  57 | acc=0.8549 | bsr=nan | agg=0.22s
round  58 | acc=0.8508 | bsr=nan | agg=0.23s
round  59 | acc=0.8574 | bsr=nan | agg=0.22s
round  60 | acc=0.8576 | bsr=nan | agg=0.21s
