round   1 | acc=0.1000 | bsr=nan | agg=0.02s
round   2 | acc=0.1000 | bsr=nan | agg=0.02s
round   3 | acc=0.1000 | bsr=nan | agg=0.02s
round   4 | acc=0.1000 | bsr=nan | agg=0.02s
round   5 | acc=0.1000 | bsr=nan | agg=0.02s
round   6 | acc=0.1000 | bsr=nan | agg=0.02s
round   7 | acc=0.1000 | bsr=nan | agg=0.02s
round   8 | acc=0.1000 | bsr=nan | agg=0.02s
round   9 | acc=0.1000 | bsr=nan | agg=0.02s
round  10 | acc=0.1000 | bsr=nan | agg=0.02s
round  11 | acc=0.1000 | bsr=nan | agg=0.02s
round  12 | acc=0.1000 | bsr=nan | agg=0.02s
round  13 | acc=0.1000 | bsr=nan | agg=0.02s
round  14 | acc=0.1000 | bsr=nan | agg=0.02s
round  15 | acc=0.1000 | bsr=nan | agg=0.02s
round  16 | acc=0.1000 | bsr=nan | agg=0.02s
round  17 | acc=0.1000 | bsr=nan | agg=0.02s
round  18 | acc=0.1000 | bsr=nan | agg=0.02s
round  19 | acc=0.1000 | bsr=nan | agg=0.02s
round  20 | acc=0.1000 | bsr=nan | agg=0.02s
round  21 | acc=0.1000 | bsr=nan | agg=0.02s
round  22 | acc=0.1000 | bsr=nan | agg=0.02s
round  23 | acc=0.1000 | bsr=nan | agg=0.02s
round  24 | acc=0.1000 | bsr=nan | agg=0.02s
round  25 | acc=0.1000 | bsr=nan | agg=0.02s
round  26 | acc=0.1000 | bsr=nan | agg=0.02s
round  27 | acc=0.1000 | bsr=nan | agg=0.02s
round  28 | acc=0.1000 | bsr=nan | agg=0.02s
round  29 | acc=0.1000 | bsr=nan | agg=0.02s
round  30 | acc=0.1000 | bsr=nan | agg=0.02s
round  31 | acc=0.1000 | bsr=nan | agg=0.02s
round  32 | acc=0.1000 | bsr=nan | agg=0.02s
round  33 | acc=0.1000 | bsr=nan | agg=0.02s
round  34 | acc=0.1000 | bsr=nan | agg=0.02s
round  35 | acc=0.1000 | bsr=nan | agg=0.02s
round  36 | acc=0.1000 | bsr=nan | agg=0.02s
round  37 | acc=0.1000 | bsr=nan | agg=0.02s
round  38 | acc=0.1000 | bsr=nan | agg=0.02s
round  39 | acc=0.1000 | bsr=nan | agg=0.02s
round  40 | acc=0.1000 | bsr=nan | agg=0.02s
round  41 | acc=0.1000 | bsr=nan | agg=0.01s
round  42 | acc=0.1000 | bsr=nan | agg=0.02s
round  43 | acc=0.1000 | bsr=nan | agg=0.02s
round  44 | acc=0.1000 | bsr=nan | agg=0.02s
round  45 | acc=0.1000 | bsr=nan | agg=0.02s
round  46 | acc=0.1000 | bsr=nan | agg=0.02s
round  47 | acc=0.1000 | bsr=nan | agg=0.02s
round  48 | acc=0.1000 | bsr=nan | agg=0.02s
round  49 | acc=0.1000 | bsr=nan | agg=0.02s
round  50 | acc=0.2295 | bsr=nan | agg=0.02s
round  51 | acc=0.2002 | bsr=nan | agg=0.02s
round  52 | acc=0.1000 | bsr=nan | agg=0.02s
round  53 | acc=0.1654 | bsr=nan | agg=0.01s
round  54 | acc=0.1001 | bsr=nan | agg=0.02s
round  55 | acc=0.1000 | bsr=nan | agg=0.02s
round  56 | acc=0.1000 | bsr=nan | agg=0.02s
round  57 | acc=0.1000 | bsr=nan | agg=0.02s
round  58 | acc=0.2012 | bsr=nan | agg=0.02s
round  59 | acc=0.1000 | bsr=nan | agg=0.02s
round  60 | acc=0.1480 | bsr=nan | agg=0.02s
