round   1 | acc=0.0546 | bsr=0.000 | agg=0.53s | det_auroc=0.797 | tpr@5=0.00
round   2 | acc=0.1326 | bsr=0.011 | agg=0.42s | det_auroc=0.781 | tpr@5=0.00
round   3 | acc=0.3491 | bsr=0.437 | agg=0.47s | det_auroc=0.859 | tpr@5=0.25
round   4 | acc=0.3961 | bsr=0.492 | agg=0.49s | det_auroc=0.938 | tpr@5=0.50
round   5 | acc=0.5009 | bsr=0.427 | agg=0.48s | det_auroc=0.953 | tpr@5=0.50
round   6 | acc=0.6109 | bsr=0.325 | agg=0.49s | det_auroc=0.984 | tpr@5=0.75
round   7 | acc=0.6680 | bsr=0.234 | agg=0.50s | det_auroc=0.984 | tpr@5=0.75
round   8 | acc=0.6953 | bsr=0.154 | agg=0.47s | det_auroc=0.922 | tpr@5=0.25
round   9 | acc=0.6930 | bsr=0.123 | agg=0.49s | det_auroc=0.906 | tpr@5=0.00
round  10 | acc=0.6986 | bsr=0.110 | agg=0.48s | det_auroc=0.828 | tpr@5=0.00
round  11 | acc=0.6968 | bsr=0.094 | agg=0.47s | det_auroc=0.750 | tpr@5=0.00
round  12 | acc=0.7028 | bsr=0.095 | agg=0.50s | det_auroc=0.812 | tpr@5=0.00
round  13 | acc=0.7148 | bsr=0.098 | agg=0.44s | det_auroc=0.734 | tpr@5=0.00
round  14 | acc=0.7218 | bsr=0.098 | agg=0.51s | det_auroc=0.703 | tpr@5=0.00
round  15 | acc=0.7248 | bsr=0.095 | agg=0.49s | det_auroc=0.625 | tpr@5=0.00
round  16 | acc=0.7309 | bsr=0.093 | agg=0.49s | det_auroc=0.531 | tpr@5=0.00
round  17 | acc=0.7343 | bsr=0.096 | agg=0.53s | det_auroc=0.594 | tpr@5=0.00
round  18 | acc=0.7388 | bsr=0.102 | agg=0.48s | det_auroc=0.531 | tpr@5=0.00
round  19 | acc=0.7441 | bsr=0.103 | agg=0.50s | det_auroc=0.484 | tpr@5=0.00
round  20 | acc=0.7455 | bsr=0.111 | agg=0.43s | det_auroc=0.375 | tpr@5=0.00
round  21 | acc=0.7482 | bsr=0.115 | agg=0.51s | det_auroc=0.500 | tpr@5=0.00
round  22 | acc=0.7499 | bsr=0.115 | agg=0.49s | det_auroc=0.469 | tpr@5=0.00
round  23 | acc=0.7527 | bsr=0.116 | agg=0.40s | det_auroc=0.344 | tpr@5=0.00
round  24 | acc=0.7563 | bsr=0.119 | agg=0.48s | det_auroc=0.438 | tpr@5=0.00
round  25 | acc=0.7599 | bsr=0.125 | agg=0.50s | det_auroc=0.359 | tpr@5=0.00
round  26 | acc=0.7613 | bsr=0.125 | agg=0.49s | det_auroc=0.297 | tpr@5=0.00
round  27 | acc=0.7628 | bsr=0.131 | agg=0.49s | det_auroc=0.266 | tpr@5=0.00
round  28 | acc=0.7635 | bsr=0.135 | agg=0.51s | det_auroc=0.375 | tpr@5=0.00
round  29 | acc=0.7653 | bsr=0.138 | agg=0.45s | det_auroc=0.406 | tpr@5=0.00
round  30 | acc=0.7671 | bsr=0.152 | agg=0.46s | det_auroc=0.312 | tpr@5=0.00
round  31 | acc=0.7672 | bsr=0.151 | agg=0.43s | det_auroc=0.453 | tpr@5=0.00
round  32 | acc=0.7715 | bsr=0.157 | agg=0.47s | det_auroc=0.297 | tpr@5=0.00
round  33 | acc=0.7730 | bsr=0.163 | agg=0.41s | det_auroc=0.281 | tpr@5=0.00
round  34 | acc=0.7738 | bsr=0.167 | agg=0.44s | det_auroc=0.312 | tpr@5=0.00
round  35 | acc=0.7767 | bsr=0.174 | agg=0.40s | det_auroc=0.328 | tpr@5=0.00
round  36 | acc=0.7790 | bsr=0.181 | agg=0.43s | det_auroc=0.250 | tpr@5=0.00
round  37 | acc=0.7798 | bsr=0.187 | agg=0.40s | det_auroc=0.172 | tpr@5=0.00
round  38 | acc=0.7817 | bsr=0.194 | agg=0.43s | det_auroc=0.266 | tpr@5=0.00
round  39 | acc=0.7829 | bsr=0.196 | agg=0.44s | det_auroc=0.188 | tpr@5=0.00
round  40 | acc=0.7847 | bsr=0.205 | agg=0.44s | det_auroc=0.250 | tpr@5=0.00
round  41 | acc=0.7855 | bsr=0.213 | agg=0.43s | det_auroc=0.312 | tpr@5=0.00
round  42 | acc=0.7871 | bsr=0.221 | agg=0.48s | det_auroc=0.344 | tpr@5=0.00
round  43 | acc=0.7901 | bsr=0.235 | agg=0.50s | det_auroc=0.109 | tpr@5=0.00
