round   1 | acc=0.0627 | bsr=nan | agg=0.19s | det_auroc=1.000 | tpr@5=1.00
round   2 | acc=0.0863 | bsr=nan | agg=0.14s | det_auroc=1.000 | tpr@5=1.00
round   3 | acc=0.1083 | bsr=nan | agg=0.12s | det_auroc=1.000 | tpr@5=1.00
round   4 | acc=0.2340 | bsr=nan | agg=0.13s | det_auroc=1.000 | tpr@5=1.00
round   5 | acc=0.4602 | bsr=nan | agg=0.13s | det_auroc=1.000 | tpr@5=1.00
round   6 | acc=0.5133 | bsr=nan | agg=0.13s | det_auroc=1.000 | tpr@5=1.00
round   7 | acc=0.5220 | bsr=nan | agg=0.14s | det_auroc=1.000 | tpr@5=1.00
round   8 | acc=0.5160 | bsr=nan | agg=0.13s | det_auroc=1.000 | tpr@5=1.00
round   9 | acc=0.5162 | bsr=nan | agg=0.14s | det_auroc=1.000 | tpr@5=1.00
round  10 | acc=0.5363 | bsr=nan | agg=0.14s | det_auroc=1.000 | tpr@5=1.00
round  11 | acc=0.5812 | bsr=nan | agg=0.14s | det_auroc=0.984 | tpr@5=0.75
round  12 | acc=0.5957 | bsr=nan | agg=0.14s | det_auroc=0.953 | tpr@5=0.25
round  13 | acc=0.6101 | bsr=nan | agg=0.12s | det_auroc=0.953 | tpr@5=0.25
round  14 | acc=0.6208 | bsr=nan | agg=0.13s | det_auroc=0.969 | tpr@5=0.50
round  15 | acc=0.6264 | bsr=nan | agg=0.13s | det_auroc=0.953 | tpr@5=0.25
round  16 | acc=0.6366 | bsr=nan | agg=0.13s | det_auroc=0.969 | tpr@5=0.50
round  17 | acc=0.6433 | bsr=nan | agg=0.13s | det_auroc=0.953 | tpr@5=0.25
round  18 | acc=0.6485 | bsr=nan | agg=0.14s | det_auroc=0.938 | tpr@5=0.50
round  19 | acc=0.6572 | bsr=nan | agg=0.14s | det_auroc=0.969 | tpr@5=0.50
round  20 | acc=0.6631 | bsr=nan | agg=0.13s | det_auroc=0.844 | tpr@5=0.00
round  21 | acc=0.6690 | bsr=nan | agg=0.14s | det_auroc=0.906 | tpr@5=0.25
round  22 | acc=0.6740 | bsr=nan | agg=0.13s | det_auroc=0.781 | tpr@5=0.25
round  23 | acc=0.6764 | bsr=nan | agg=0.14s | det_auroc=0.797 | tpr@5=0.00
round  24 | acc=0.6805 | bsr=nan | agg=0.13s | det_auroc=0.797 | tpr@5=0.25
round  25 | acc=0.6859 | bsr=nan | agg=0.13s | det_auroc=0.750 | tpr@5=0.00
round  26 | acc=0.6937 | bsr=nan | agg=0.13s | det_auroc=0.891 | tpr@5=0.00
round  27 | acc=0.6954 | bsr=nan | agg=0.13s | det_auroc=0.906 | tpr@5=0.50
round  28 | acc=0.6971 | bsr=nan | agg=0.14s | det_auroc=0.875 | tpr@5=0.00
round  29 | acc=0.7046 | bsr=nan | agg=0.12s | det_auroc=0.906 | tpr@5=0.25
round  30 | acc=0.7115 | bsr=nan | agg=0.12s | det_auroc=0.812 | tpr@5=0.00
round  31 | acc=0.7137 | bsr=nan | agg=0.13s | det_auroc=0.781 | tpr@5=0.25
round  32 | acc=0.7154 | bsr=nan | agg=0.13s | det_auroc=0.875 | tpr@5=0.00
round  33 | acc=0.7169 | bsr=nan | agg=0.13s | det_auroc=0.891 | tpr@5=0.50
