round   1 | acc=0.0703 | bsr=nan | agg=0.05s | det_auroc=1.000 | tpr@5=1.00
round   2 | acc=0.1191 | bsr=nan | agg=0.06s | det_auroc=1.000 | tpr@5=1.00
round   3 | acc=0.2708 | bsr=nan | agg=0.04s | det_auroc=1.000 | tpr@5=1.00
round   4 | acc=0.4397 | bsr=nan | agg=0.04s | det_auroc=1.000 | tpr@5=1.00
round   5 | acc=0.6035 | bsr=nan | agg=0.04s | det_auroc=1.000 | tpr@5=1.00
round   6 | acc=0.6626 | bsr=nan | agg=0.04s | det_auroc=1.000 | tpr@5=1.00
round   7 | acc=0.6778 | bsr=nan | agg=0.05s | det_auroc=1.000 | tpr@5=1.00
round   8 | acc=0.6851 | bsr=nan | agg=0.04s | det_auroc=1.000 | tpr@5=1.00
round   9 | acc=0.6877 | bsr=nan | agg=0.04s | det_auroc=1.000 | tpr@5=1.00
round  10 | acc=0.6950 | bsr=nan | agg=0.05s | det_auroc=1.000 | tpr@5=1.00
round  11 | acc=0.7028 | bsr=nan | agg=0.04s | det_auroc=1.000 | tpr@5=1.00
round  12 | acc=0.7046 | bsr=nan | agg=0.04s | det_auroc=1.000 | tpr@5=1.00
round  13 | acc=0.7191 | bsr=nan | agg=0.04s | det_auroc=1.000 | tpr@5=1.00
round  14 | acc=0.7161 | bsr=nan | agg=0.04s | det_auroc=1.000 | tpr@5=1.00
round  15 | acc=0.7249 | bsr=nan | agg=0.04s | det_auroc=1.000 | tpr@5=1.00
round  16 | acc=0.7280 | bsr=nan | agg=0.05s | det_auroc=1.000 | tpr@5=1.00
round  17 | acc=0.7373 | bsr=nan | agg=0.04s | det_auroc=0.969 | tpr@5=0.00
round  18 | acc=0.7408 | bsr=nan | agg=0.04s | det_auroc=1.000 | tpr@5=1.00
round  19 | acc=0.7449 | bsr=nan | agg=0.05s | det_auroc=1.000 | tpr@5=1.00
round  20 | acc=0.7448 | bsr=nan | agg=0.04s | det_auroc=1.000 | tpr@5=1.00
round  21 | acc=0.7497 | bsr=nan | agg=0.04s | det_auroc=1.000 | tpr@5=1.00
round  22 | acc=0.7520 | bsr=nan | agg=0.04s | det_auroc=0.969 | tpr@5=0.00
round  23 | acc=0.7509 | bsr=nan | agg=0.04s | det_auroc=1.000 | tpr@5=1.00
round  24 | acc=0.7530 | bsr=nan | agg=0.04s | det_auroc=1.000 | tpr@5=1.00
round  25 | acc=0.7554 | bsr=nan | agg=0.04s | det_auroc=0.969 | tpr@5=0.00
round  26 | acc=0.7531 | bsr=nan | agg=0.04s | det_auroc=0.969 | tpr@5=0.00
round  27 | acc=0.7591 | bsr=nan | agg=0.05s | det_auroc=0.969 | tpr@5=0.00
round  28 | acc=0.7601 | bsr=nan | agg=0.05s | det_auroc=0.969 | tpr@5=0.00
round  29 | acc=0.7633 | bsr=nan | agg=0.04s | det_auroc=0.906 | tpr@5=0.00
round  30 | acc=0.7642 | bsr=nan | agg=0.05s | det_auroc=0.938 | tpr@5=0.00
round  31 | acc=0.7632 | bsr=nan | agg=0.04s | det_auroc=0.938 | tpr@5=0.00
round  32 | acc=0.7693 | bsr=nan | agg=0.04s | det_auroc=0.938 | tpr@5=0.00
round  33 | acc=0.7719 | bsr=nan | agg=0.04s | det_auroc=0.938 | tpr@5=0.00
round  34 | acc=0.7746 | bsr=nan | agg=0.04s | det_auroc=0.938 | tpr@5=0.00
round  35 | acc=0.7752 | bsr=nan | agg=0.04s | det_auroc=0.969 | tpr@5=0.00
round  36 | acc=0.7770 | bsr=nan | agg=0.04s | det_auroc=0.906 | tpr@5=0.00
round  37 | acc=0.7750 | bsr=nan | agg=0.04s | det_auroc=1.000 | tpr@5=1.00
round  38 | acc=0.7773 | bsr=nan | agg=0.04s | det_auroc=0.938 | tpr@5=0.00
round  39 | acc=0.7684 | bsr=nan | agg=0.05s | det_auroc=0.844 | tpr@5=0.00
round  40 | acc=0.7771 | bsr=nan | agg=0.04s | det_auroc=0.812 | tpr@5=0.00
round  41 | acc=0.7784 | bsr=nan | agg=0.04s | det_auroc=0.938 | tpr@5=0.00
round  42 | acc=0.7788 | bsr=nan | agg=0.04s | det_auroc=0.969 | tpr@5=0.00
round  43 | acc=0.7848 | bsr=nan | agg=0.05s | det_auroc=0.938 | tpr@5=0.00
round  44 | acc=0.7871 | bsr=nan | agg=0.04s | det_auroc=0.906 | tpr@5=0.00
round  45 | acc=0.7862 | bsr=nan | agg=0.05s | det_auroc=0.875 | tpr@5=0.00
