round   1 | acc=0.4286 | bsr=nan | agg=0.15s
round   2 | acc=0.5769 | bsr=nan | agg=0.15s
round   3 | acc=0.6472 | bsr=nan | agg=0.15s
round   4 | acc=0.6851 | bsr=nan | agg=0.13s
round   5 | acc=0.6975 | bsr=nan | agg=0.14s
round   6 | acc=0.7113 | bsr=nan | agg=0.13s
round   7 | acc=0.7377 | bsr=nan | agg=0.15s
round   8 | acc=0.7402 | bsr=nan | agg=0.14s
round   9 | acc=0.7288 | bsr=nan | agg=0.13s
round  10 | acc=0.7520 | bsr=nan | agg=0.16s
round  11 | acc=0.7621 | bsr=nan | agg=0.14s
round  12 | acc=0.7660 | bsr=nan | agg=0.15s
round  13 | acc=0.7709 | bsr=nan | agg=0.15s
round  14 | acc=0.7708 | bsr=nan | agg=0.15s
round  15 | acc=0.7805 | bsr=nan | agg=0.14s
round  16 | acc=0.7809 | bsr=nan | agg=0.16s
round  17 | acc=0.7868 | bsr=nan | agg=0.13s
round  18 | acc=0.7883 | bsr=nan | agg=0.13s
round  19 | acc=0.7911 | bsr=nan | agg=0.15s
round  20 | acc=0.7892 | bsr=nan | agg=0.13s
round  21 | acc=0.7929 | bsr=nan | agg=0.15s
round  22 | acc=0.7926 | bsr=nan | agg=0.13s
round  23 | acc=0.8027 | bsr=nan | agg=0.14s
round  24 | acc=0.8000 | bsr=nan | agg=0.16s
round  25 | acc=0.8082 | bsr=nan | agg=0.15s
round  26 | acc=0.8115 | bsr=nan | agg=0.13s
round  27 | acc=0.8062 | bsr=nan | agg=0.15s
round  28 | acc=0.8142 | bsr=nan | agg=0.15s
round  29 | acc=0.8150 | bsr=nan | agg=0.14s
round  30 | acc=0.8159 | bsr=nan | agg=0.13s
round  31 | acc=0.8158 | bsr=nan | agg=0.12s
round  32 | acc=0.8138 | bsr=nan | agg=0.13s
round  33 | acc=0.8219 | bsr=nan | agg=0.13s
round  34 | acc=0.8220 | bsr=nan | agg=0.13s
round  35 | acc=0.8224 | bsr=nan | agg=0.13s
round  36 | acc=0.8284 | bsr=nan | agg=0.16s
round  37 | acc=0.8300 | bsr=nan | agg=0.13s
round  38 | acc=0.8305 | bsr=nan | agg=0.15s
round  39 | acc=0.8345 | bsr=nan | agg=0.14s
round  40 | acc=0.8340 | bsr=nan | agg=0.15s
round  41 | acc=0.8348 | bsr=nan | agg=0.15s
round  42 | acc=0.8423 | bsr=nan | agg=0.14s
round  43 | acc=0.8410 | bsr=nan | agg=0.16s
round  44 | acc=0.8366 | bsr=nan | agg=0.15s
round  45 | acc=0.8443 | bsr=nan | agg=0.17s
round  46 | acc=0.8478 | bsr=nan | agg=0.14s
round  47 | acc=0.8465 | bsr=nan | agg=0.14s
round  48 | acc=0.8466 | bsr=nan | agg=0.16s
round  49 | acc=0.8474 | bsr=nan | agg=0.15s
round  50 | acc=0.8419 | bsr=nan | agg=0.16s
round  51 | acc=0.8430 | bsr=nan | agg=0.17s
round  52 | acc=0.8490 | bsr=nan | agg=0.15s
round  53 | acc=0.8550 | bsr=nan | agg=0.15s
round  54 | acc=0.8462 | bsr=nan | agg=0.14s
round  55 | acc=0.8491 | bsr=nan | agg=0.14s
round  56 | acc=0.8516 | bsr=nan | agg=0.14s
round  57 | acc=0.8543 | bsr=nan | agg=0.16s
round  58 | acc=0.8537 | bsr=nan | agg=0.15s
round  59 | acc=0.8588 | bsr=nan | agg=0.14s
round  60 | acc=0.8578 | bsr=nan | agg=0.15s
