dataset,attack,defense,rounds,final_acc,final_bsr,peak_bsr,final_auroc,final_tpr,mean_agg_s,total_agg_s
fmnist,adaptive_ecf,ecf_base_nog,60,0.8883,0.9860,0.9860,0.0470,0.0000,0.4375,26.2500
fmnist,adaptive_ecf,ecf_cand_nog,60,0.8845,0.0320,0.0960,1.0000,1.0000,0.4155,24.9300
fmnist,backdoor,ecf_base_nog,60,0.8880,0.9970,0.9970,0.5310,0.0000,0.4480,26.8800
fmnist,backdoor,ecf_cand_nog,60,0.8839,0.0190,0.0590,1.0000,1.0000,0.3925,23.5500
fmnist,constrained_backdoor,ecf_base_nog,60,0.8879,0.9970,0.9970,0.5000,0.0000,0.4668,28.0100
fmnist,constrained_backdoor,ecf_cand_nog,60,0.8845,0.0280,0.0830,1.0000,1.0000,0.3977,23.8600
fmnist,gaussian,ecf_base_nog,60,0.8843,nan,nan,1.0000,1.0000,0.3883,23.3000
fmnist,gaussian,ecf_cand_nog,60,0.8836,nan,nan,1.0000,1.0000,0.3827,22.9600
fmnist,label_flip,ecf_base_nog,60,0.8839,nan,nan,1.0000,1.0000,0.4492,26.9500
fmnist,label_flip,ecf_cand_nog,60,0.8830,nan,nan,1.0000,1.0000,0.3982,23.8900
fmnist,lie,ecf_base_nog,60,0.8838,nan,nan,1.0000,1.0000,0.3960,23.7600
fmnist,lie,ecf_cand_nog,60,0.8833,nan,nan,1.0000,1.0000,0.3802,22.8100
fmnist,min_max,ecf_base_nog,60,0.8287,nan,nan,1.0000,1.0000,0.3963,23.7800
fmnist,min_max,ecf_cand_nog,60,0.8850,nan,nan,1.0000,1.0000,0.3865,23.1900
fmnist,sign_flip,ecf_base_nog,60,0.8418,nan,nan,0.9690,0.7500,0.3943,23.6600
fmnist,sign_flip,ecf_cand_nog,60,0.8309,nan,nan,0.8280,0.0000,0.3863,23.1800
fmnist,spurious_feature,ecf_base_nog,60,0.8871,nan,nan,0.6410,0.2500,0.4465,26.7900
fmnist,spurious_feature,ecf_cand_nog,60,0.8861,nan,nan,0.7970,0.2500,0.3957,23.7400
