device=cuda dataset=fmnist(real) clients=20 malicious=4 defense=ecf attack=lie
round   1 | acc=0.5009 | bsr=nan | agg=0.43s | det_auroc=0.875 | tpr@5=0.00
round   2 | acc=0.6192 | bsr=nan | agg=0.41s | det_auroc=0.875 | tpr@5=0.00
round   3 | acc=0.6899 | bsr=nan | agg=0.41s | det_auroc=0.938 | tpr@5=0.00
round   4 | acc=0.7217 | bsr=nan | agg=0.40s | det_auroc=1.000 | tpr@5=1.00
round   5 | acc=0.7362 | bsr=nan | agg=0.40s | det_auroc=1.000 | tpr@5=1.00
round   6 | acc=0.7586 | bsr=nan | agg=0.40s | det_auroc=1.000 | tpr@5=1.00
round   7 | acc=0.7682 | bsr=nan | agg=0.40s | det_auroc=1.000 | tpr@5=1.00
round   8 | acc=0.7867 | bsr=nan | agg=0.39s | det_auroc=1.000 | tpr@5=1.00
round   9 | acc=0.7732 | bsr=nan | agg=0.39s | det_auroc=1.000 | tpr@5=1.00
round  10 | acc=0.7959 | bsr=nan | agg=0.14s | det_auroc=0.938 | tpr@5=0.00
round  11 | acc=0.7941 | bsr=nan | agg=0.41s | det_auroc=1.000 | tpr@5=1.00
round  12 | acc=0.8102 | bsr=nan | agg=0.42s | det_auroc=1.000 | tpr@5=1.00
round  13 | acc=0.8145 | bsr=nan | agg=0.40s | det_auroc=1.000 | tpr@5=1.00
round  14 | acc=0.8093 | bsr=nan | agg=0.40s | det_auroc=0.938 | tpr@5=0.00
round  15 | acc=0.8220 | bsr=nan | agg=0.40s | det_auroc=0.938 | tpr@5=0.00
round  16 | acc=0.8154 | bsr=nan | agg=0.40s | det_auroc=1.000 | tpr@5=1.00
round  17 | acc=0.8320 | bsr=nan | agg=0.41s | det_auroc=1.000 | tpr@5=1.00
round  18 | acc=0.8302 | bsr=nan | agg=0.39s | det_auroc=1.000 | tpr@5=1.00
round  19 | acc=0.8316 | bsr=nan | agg=0.30s | det_auroc=1.000 | tpr@5=1.00
round  20 | acc=0.8363 | bsr=nan | agg=0.40s | det_auroc=1.000 | tpr@5=1.00
round  21 | acc=0.8470 | bsr=nan | agg=0.40s | det_auroc=1.000 | tpr@5=1.00
round  22 | acc=0.8420 | bsr=nan | agg=0.41s | det_auroc=1.000 | tpr@5=1.00
round  23 | acc=0.8483 | bsr=nan | agg=0.40s | det_auroc=1.000 | tpr@5=1.00
round  24 | acc=0.8471 | bsr=nan | agg=0.40s | det_auroc=1.000 | tpr@5=1.00
round  25 | acc=0.8481 | bsr=nan | agg=0.40s | det_auroc=1.000 | tpr@5=1.00
round  26 | acc=0.8534 | bsr=nan | agg=0.40s | det_auroc=1.000 | tpr@5=1.00
round  27 | acc=0.8556 | bsr=nan | agg=0.40s | det_auroc=1.000 | tpr@5=1.00
round  28 | acc=0.8579 | bsr=nan | agg=0.40s | det_auroc=1.000 | tpr@5=1.00
round  29 | acc=0.8606 | bsr=nan | agg=0.40s | det_auroc=1.000 | tpr@5=1.00
