device=cuda dataset=imdb(real) clients=20 malicious=4 defense=fltrust attack=constrained_backdoor
round   1 | acc=0.5000 | bsr=1.000 | agg=0.17s | det_auroc=0.094 | tpr@5=0.00
round   2 | acc=0.5004 | bsr=0.999 | agg=0.19s | det_auroc=0.844 | tpr@5=0.00
round   3 | acc=0.5000 | bsr=1.000 | agg=0.13s | det_auroc=0.188 | tpr@5=0.00
round   4 | acc=0.5014 | bsr=0.996 | agg=0.15s | det_auroc=0.844 | tpr@5=0.00
round   5 | acc=0.5000 | bsr=1.000 | agg=0.13s | det_auroc=0.266 | tpr@5=0.00
round   6 | acc=0.5002 | bsr=1.000 | agg=0.13s | det_auroc=0.844 | tpr@5=0.00
round   7 | acc=0.5000 | bsr=1.000 | agg=0.13s | det_auroc=0.391 | tpr@5=0.00
round   8 | acc=0.5048 | bsr=0.985 | agg=0.13s | det_auroc=0.844 | tpr@5=0.00
round   9 | acc=0.5000 | bsr=1.000 | agg=0.13s | det_auroc=0.141 | tpr@5=0.00
round  10 | acc=0.5037 | bsr=0.990 | agg=0.13s | det_auroc=0.844 | tpr@5=0.00
round  11 | acc=0.5000 | bsr=1.000 | agg=0.14s | det_auroc=0.312 | tpr@5=0.00
round  12 | acc=0.5134 | bsr=0.962 | agg=0.13s | det_auroc=0.875 | tpr@5=0.00
round  13 | acc=0.5000 | bsr=1.000 | agg=0.13s | det_auroc=0.266 | tpr@5=0.00
round  14 | acc=0.5086 | bsr=0.976 | agg=0.14s | det_auroc=0.875 | tpr@5=0.00
round  15 | acc=0.5048 | bsr=0.990 | agg=0.14s | det_auroc=0.406 | tpr@5=0.00
round  16 | acc=0.5001 | bsr=1.000 | agg=0.13s | det_auroc=0.359 | tpr@5=0.00
round  17 | acc=0.5317 | bsr=0.915 | agg=0.13s | det_auroc=0.875 | tpr@5=0.00
round  18 | acc=0.5040 | bsr=0.992 | agg=0.14s | det_auroc=0.344 | tpr@5=0.00
round  19 | acc=0.5452 | bsr=0.866 | agg=0.14s | det_auroc=0.875 | tpr@5=0.00
round  20 | acc=0.5041 | bsr=0.992 | agg=0.15s | det_auroc=0.219 | tpr@5=0.00
