device=cuda dataset=imdb(real) clients=20 malicious=4 defense=ecf attack=label_flip
round   1 | acc=0.5073 | bsr=nan | agg=0.41s | det_auroc=0.375 | tpr@5=0.00
round   2 | acc=0.5001 | bsr=nan | agg=0.26s | det_auroc=0.406 | tpr@5=0.00
round   3 | acc=0.5000 | bsr=nan | agg=0.26s | det_auroc=0.422 | tpr@5=0.00
round   4 | acc=0.5000 | bsr=nan | agg=0.23s | det_auroc=0.391 | tpr@5=0.00
round   5 | acc=0.5000 | bsr=nan | agg=0.23s | det_auroc=0.344 | tpr@5=0.00
round   6 | acc=0.5000 | bsr=nan | agg=0.23s | det_auroc=0.328 | tpr@5=0.00
round   7 | acc=0.5000 | bsr=nan | agg=0.24s | det_auroc=0.297 | tpr@5=0.00
round   8 | acc=0.5000 | bsr=nan | agg=0.24s | det_auroc=0.312 | tpr@5=0.00
round   9 | acc=0.5000 | bsr=nan | agg=0.24s | det_auroc=0.281 | tpr@5=0.00
round  10 | acc=0.5000 | bsr=nan | agg=0.23s | det_auroc=0.281 | tpr@5=0.00
round  11 | acc=0.5005 | bsr=nan | agg=0.23s | det_auroc=0.281 | tpr@5=0.00
round  12 | acc=0.5043 | bsr=nan | agg=0.23s | det_auroc=0.266 | tpr@5=0.00
round  13 | acc=0.5073 | bsr=nan | agg=0.22s | det_auroc=0.250 | tpr@5=0.00
round  14 | acc=0.5158 | bsr=nan | agg=0.22s | det_auroc=0.266 | tpr@5=0.00
round  15 | acc=0.5190 | bsr=nan | agg=0.23s | det_auroc=0.203 | tpr@5=0.00
round  16 | acc=0.5336 | bsr=nan | agg=0.23s | det_auroc=0.266 | tpr@5=0.00
round  17 | acc=0.5411 | bsr=nan | agg=0.23s | det_auroc=0.219 | tpr@5=0.00
round  18 | acc=0.5424 | bsr=nan | agg=0.22s | det_auroc=0.266 | tpr@5=0.00
round  19 | acc=0.5396 | bsr=nan | agg=0.23s | det_auroc=0.250 | tpr@5=0.00
round  20 | acc=0.5403 | bsr=nan | agg=0.22s | det_auroc=0.344 | tpr@5=0.00
