device=cuda dataset=imdb(real) clients=20 malicious=4 defense=fedavg attack=lie
round   1 | acc=0.5000 | bsr=nan | agg=0.02s
round   2 | acc=0.5002 | bsr=nan | agg=0.02s
round   3 | acc=0.5001 | bsr=nan | agg=0.02s
round   4 | acc=0.5089 | bsr=nan | agg=0.02s
round   5 | acc=0.5185 | bsr=nan | agg=0.02s
round   6 | acc=0.5359 | bsr=nan | agg=0.02s
round   7 | acc=0.5891 | bsr=nan | agg=0.02s
round   8 | acc=0.5670 | bsr=nan | agg=0.02s
round   9 | acc=0.6020 | bsr=nan | agg=0.02s
round  10 | acc=0.5884 | bsr=nan | agg=0.02s
round  11 | acc=0.6092 | bsr=nan | agg=0.02s
round  12 | acc=0.6110 | bsr=nan | agg=0.02s
round  13 | acc=0.6131 | bsr=nan | agg=0.02s
round  14 | acc=0.6163 | bsr=nan | agg=0.02s
round  15 | acc=0.6180 | bsr=nan | agg=0.02s
round  16 | acc=0.6159 | bsr=nan | agg=0.02s
round  17 | acc=0.6305 | bsr=nan | agg=0.02s
round  18 | acc=0.6289 | bsr=nan | agg=0.02s
round  19 | acc=0.6219 | bsr=nan | agg=0.02s
round  20 | acc=0.6337 | bsr=nan | agg=0.02s
round  21 | acc=0.6357 | bsr=nan | agg=0.02s
round  22 | acc=0.6341 | bsr=nan | agg=0.03s
round  23 | acc=0.6340 | bsr=nan | agg=0.03s
round  24 | acc=0.6434 | bsr=nan | agg=0.03s
round  25 | acc=0.6163 | bsr=nan | agg=0.02s
round  26 | acc=0.6560 | bsr=nan | agg=0.03s
round  27 | acc=0.6058 | bsr=nan | agg=0.02s
round  28 | acc=0.6559 | bsr=nan | agg=0.03s
round  29 | acc=0.6117 | bsr=nan | agg=0.02s
round  30 | acc=0.6550 | bsr=nan | agg=0.02s
