device=cuda dataset=imdb(real) clients=20 malicious=4 defense=trimmed_mean attack=lie
round   1 | acc=0.5000 | bsr=nan | agg=0.50s
round   2 | acc=0.5000 | bsr=nan | agg=0.50s
round   3 | acc=0.5003 | bsr=nan | agg=0.46s
round   4 | acc=0.5006 | bsr=nan | agg=0.49s
round   5 | acc=0.5019 | bsr=nan | agg=0.50s
round   6 | acc=0.5198 | bsr=nan | agg=0.49s
round   7 | acc=0.5433 | bsr=nan | agg=0.49s
round   8 | acc=0.5772 | bsr=nan | agg=0.50s
round   9 | acc=0.5865 | bsr=nan | agg=0.49s
round  10 | acc=0.5963 | bsr=nan | agg=0.48s
round  11 | acc=0.5962 | bsr=nan | agg=0.48s
round  12 | acc=0.5950 | bsr=nan | agg=0.49s
round  13 | acc=0.5935 | bsr=nan | agg=0.48s
round  14 | acc=0.5939 | bsr=nan | agg=0.48s
round  15 | acc=0.5939 | bsr=nan | agg=0.48s
round  16 | acc=0.5960 | bsr=nan | agg=0.48s
round  17 | acc=0.5964 | bsr=nan | agg=0.48s
round  18 | acc=0.5970 | bsr=nan | agg=0.49s
round  19 | acc=0.5986 | bsr=nan | agg=0.49s
round  20 | acc=0.5995 | bsr=nan | agg=0.47s
round  21 | acc=0.6003 | bsr=nan | agg=0.48s
round  22 | acc=0.6014 | bsr=nan | agg=0.48s
round  23 | acc=0.6026 | bsr=nan | agg=0.48s
round  24 | acc=0.6065 | bsr=nan | agg=0.47s
round  25 | acc=0.6008 | bsr=nan | agg=0.47s
round  26 | acc=0.6092 | bsr=nan | agg=0.47s
round  27 | acc=0.6068 | bsr=nan | agg=0.47s
round  28 | acc=0.6066 | bsr=nan | agg=0.47s
round  29 | acc=0.6065 | bsr=nan | agg=0.47s
round  30 | acc=0.6039 | bsr=nan | agg=0.47s
