device=cuda dataset=imdb(real) clients=20 malicious=4 defense=ecf attack=lie
round   1 | acc=0.5099 | bsr=nan | agg=0.24s | det_auroc=0.000 | tpr@5=0.00
round   2 | acc=0.5142 | bsr=nan | agg=0.21s | det_auroc=0.000 | tpr@5=0.00
round   3 | acc=0.5231 | bsr=nan | agg=0.21s | det_auroc=0.000 | tpr@5=0.00
round   4 | acc=0.5292 | bsr=nan | agg=0.20s | det_auroc=0.000 | tpr@5=0.00
round   5 | acc=0.5283 | bsr=nan | agg=0.20s | det_auroc=0.000 | tpr@5=0.00
round   6 | acc=0.5394 | bsr=nan | agg=0.20s | det_auroc=0.000 | tpr@5=0.00
round   7 | acc=0.5369 | bsr=nan | agg=0.21s | det_auroc=0.000 | tpr@5=0.00
round   8 | acc=0.5363 | bsr=nan | agg=0.23s | det_auroc=0.000 | tpr@5=0.00
round   9 | acc=0.5403 | bsr=nan | agg=0.21s | det_auroc=0.000 | tpr@5=0.00
round  10 | acc=0.5528 | bsr=nan | agg=0.20s | det_auroc=0.000 | tpr@5=0.00
round  11 | acc=0.5550 | bsr=nan | agg=0.23s | det_auroc=0.000 | tpr@5=0.00
round  12 | acc=0.5643 | bsr=nan | agg=0.20s | det_auroc=0.000 | tpr@5=0.00
round  13 | acc=0.5633 | bsr=nan | agg=0.21s | det_auroc=0.000 | tpr@5=0.00
round  14 | acc=0.5674 | bsr=nan | agg=0.21s | det_auroc=0.000 | tpr@5=0.00
round  15 | acc=0.5687 | bsr=nan | agg=0.21s | det_auroc=0.000 | tpr@5=0.00
round  16 | acc=0.5763 | bsr=nan | agg=0.19s | det_auroc=0.000 | tpr@5=0.00
round  17 | acc=0.5740 | bsr=nan | agg=0.21s | det_auroc=0.000 | tpr@5=0.00
round  18 | acc=0.5450 | bsr=nan | agg=0.20s | det_auroc=0.000 | tpr@5=0.00
round  19 | acc=0.5568 | bsr=nan | agg=0.20s | det_auroc=0.000 | tpr@5=0.00
round  20 | acc=0.5730 | bsr=nan | agg=0.20s | det_auroc=0.000 | tpr@5=0.00
round  21 | acc=0.5347 | bsr=nan | agg=0.20s | det_auroc=0.000 | tpr@5=0.00
round  22 | acc=0.5534 | bsr=nan | agg=0.19s | det_auroc=0.000 | tpr@5=0.00
round  23 | acc=0.5635 | bsr=nan | agg=0.19s | det_auroc=0.000 | tpr@5=0.00
round  24 | acc=0.5739 | bsr=nan | agg=0.19s | det_auroc=0.000 | tpr@5=0.00
round  25 | acc=0.5870 | bsr=nan | agg=0.21s | det_auroc=0.000 | tpr@5=0.00
round  26 | acc=0.5926 | bsr=nan | agg=0.19s | det_auroc=0.000 | tpr@5=0.00
round  27 | acc=0.5734 | bsr=nan | agg=0.19s | det_auroc=0.000 | tpr@5=0.00
round  28 | acc=0.5923 | bsr=nan | agg=0.18s | det_auroc=0.000 | tpr@5=0.00
round  29 | acc=0.5817 | bsr=nan | agg=0.20s | det_auroc=0.000 | tpr@5=0.00
round  30 | acc=0.5916 | bsr=nan | agg=0.19s | det_auroc=0.000 | tpr@5=0.00
