device=cuda dataset=imdb(real) clients=20 malicious=4 defense=ecf attack=backdoor
round   1 | acc=0.5112 | bsr=0.437 | agg=0.25s | det_auroc=0.250 | tpr@5=0.00
round   2 | acc=0.5198 | bsr=0.605 | agg=0.22s | det_auroc=0.203 | tpr@5=0.00
round   3 | acc=0.5248 | bsr=0.743 | agg=0.22s | det_auroc=0.219 | tpr@5=0.00
round   4 | acc=0.5264 | bsr=0.841 | agg=0.23s | det_auroc=0.234 | tpr@5=0.00
round   5 | acc=0.5194 | bsr=0.906 | agg=0.22s | det_auroc=0.250 | tpr@5=0.00
round   6 | acc=0.5152 | bsr=0.935 | agg=0.22s | det_auroc=0.328 | tpr@5=0.00
round   7 | acc=0.5141 | bsr=0.944 | agg=0.22s | det_auroc=0.188 | tpr@5=0.00
round   8 | acc=0.5136 | bsr=0.951 | agg=0.24s | det_auroc=0.266 | tpr@5=0.00
round   9 | acc=0.5141 | bsr=0.952 | agg=0.23s | det_auroc=0.312 | tpr@5=0.00
round  10 | acc=0.5143 | bsr=0.954 | agg=0.23s | det_auroc=0.297 | tpr@5=0.00
round  11 | acc=0.5142 | bsr=0.955 | agg=0.22s | det_auroc=0.734 | tpr@5=0.00
round  12 | acc=0.5128 | bsr=0.959 | agg=0.22s | det_auroc=0.344 | tpr@5=0.00
round  13 | acc=0.5154 | bsr=0.952 | agg=0.25s | det_auroc=0.828 | tpr@5=0.00
round  14 | acc=0.5163 | bsr=0.950 | agg=0.23s | det_auroc=0.641 | tpr@5=0.00
round  15 | acc=0.5166 | bsr=0.951 | agg=0.23s | det_auroc=0.672 | tpr@5=0.00
round  16 | acc=0.5176 | bsr=0.948 | agg=0.23s | det_auroc=0.891 | tpr@5=0.00
round  17 | acc=0.5216 | bsr=0.937 | agg=0.22s | det_auroc=0.906 | tpr@5=0.25
round  18 | acc=0.5216 | bsr=0.939 | agg=0.22s | det_auroc=0.406 | tpr@5=0.00
round  19 | acc=0.5218 | bsr=0.938 | agg=0.21s | det_auroc=0.469 | tpr@5=0.00
round  20 | acc=0.5250 | bsr=0.930 | agg=0.23s | det_auroc=0.828 | tpr@5=0.75
round  21 | acc=0.5247 | bsr=0.932 | agg=0.22s | det_auroc=0.328 | tpr@5=0.00
round  22 | acc=0.5238 | bsr=0.935 | agg=0.21s | det_auroc=0.406 | tpr@5=0.00
round  23 | acc=0.5264 | bsr=0.928 | agg=0.22s | det_auroc=0.859 | tpr@5=0.75
round  24 | acc=0.5263 | bsr=0.928 | agg=0.24s | det_auroc=0.453 | tpr@5=0.00
round  25 | acc=0.5261 | bsr=0.930 | agg=0.21s | det_auroc=0.438 | tpr@5=0.00
round  26 | acc=0.5275 | bsr=0.926 | agg=0.22s | det_auroc=0.906 | tpr@5=0.25
round  27 | acc=0.5285 | bsr=0.924 | agg=0.22s | det_auroc=0.438 | tpr@5=0.00
round  28 | acc=0.5274 | bsr=0.928 | agg=0.21s | det_auroc=0.328 | tpr@5=0.00
round  29 | acc=0.5284 | bsr=0.925 | agg=0.21s | det_auroc=0.609 | tpr@5=0.00
round  30 | acc=0.5280 | bsr=0.926 | agg=0.20s | det_auroc=0.359 | tpr@5=0.00
