device=cuda dataset=fmnist(real) clients=20 malicious=4 defense=median attack=gaussian
round   1 | acc=0.4190 | bsr=nan | agg=0.19s
round   2 | acc=0.6526 | bsr=nan | agg=0.19s
round   3 | acc=0.6976 | bsr=nan | agg=0.18s
round   4 | acc=0.7234 | bsr=nan | agg=0.19s
round   5 | acc=0.7364 | bsr=nan | agg=0.18s
round   6 | acc=0.7423 | bsr=nan | agg=0.18s
round   7 | acc=0.7710 | bsr=nan | agg=0.18s
round   8 | acc=0.7723 | bsr=nan | agg=0.18s
round   9 | acc=0.7739 | bsr=nan | agg=0.18s
round  10 | acc=0.7922 | bsr=nan | agg=0.18s
round  11 | acc=0.7941 | bsr=nan | agg=0.19s
round  12 | acc=0.7989 | bsr=nan | agg=0.18s
round  13 | acc=0.8009 | bsr=nan | agg=0.19s
round  14 | acc=0.8053 | bsr=nan | agg=0.18s
round  15 | acc=0.8160 | bsr=nan | agg=0.18s
round  16 | acc=0.8122 | bsr=nan | agg=0.19s
round  17 | acc=0.8245 | bsr=nan | agg=0.18s
round  18 | acc=0.8220 | bsr=nan | agg=0.18s
round  19 | acc=0.8310 | bsr=nan | agg=0.18s
round  20 | acc=0.8286 | bsr=nan | agg=0.19s
round  21 | acc=0.8326 | bsr=nan | agg=0.19s
round  22 | acc=0.8374 | bsr=nan | agg=0.19s
round  23 | acc=0.8444 | bsr=nan | agg=0.19s
round  24 | acc=0.8441 | bsr=nan | agg=0.19s
round  25 | acc=0.8474 | bsr=nan | agg=0.19s
round  26 | acc=0.8482 | bsr=nan | agg=0.19s
round  27 | acc=0.8479 | bsr=nan | agg=0.20s
round  28 | acc=0.8522 | bsr=nan | agg=0.20s
round  29 | acc=0.8520 | bsr=nan | agg=0.19s
round  30 | acc=0.8538 | bsr=nan | agg=0.19s
round  31 | acc=0.8532 | bsr=nan | agg=0.20s
round  32 | acc=0.8523 | bsr=nan | agg=0.20s
round  33 | acc=0.8608 | bsr=nan | agg=0.19s
round  34 | acc=0.8582 | bsr=nan | agg=0.20s
round  35 | acc=0.8587 | bsr=nan | agg=0.19s
round  36 | acc=0.8642 | bsr=nan | agg=0.18s
round  37 | acc=0.8637 | bsr=nan | agg=0.19s
round  38 | acc=0.8659 | bsr=nan | agg=0.19s
round  39 | acc=0.8683 | bsr=nan | agg=0.19s
round  40 | acc=0.8665 | bsr=nan | agg=0.18s
round  41 | acc=0.8676 | bsr=nan | agg=0.19s
round  42 | acc=0.8691 | bsr=nan | agg=0.19s
round  43 | acc=0.8703 | bsr=nan | agg=0.19s
round  44 | acc=0.8711 | bsr=nan | agg=0.19s
round  45 | acc=0.8727 | bsr=nan | agg=0.19s
round  46 | acc=0.8761 | bsr=nan | agg=0.19s
round  47 | acc=0.8735 | bsr=nan | agg=0.19s
round  48 | acc=0.8729 | bsr=nan | agg=0.19s
round  49 | acc=0.8732 | bsr=nan | agg=0.20s
round  50 | acc=0.8744 | bsr=nan | agg=0.20s
round  51 | acc=0.8747 | bsr=nan | agg=0.19s
round  52 | acc=0.8781 | bsr=nan | agg=0.20s
round  53 | acc=0.8793 | bsr=nan | agg=0.19s
round  54 | acc=0.8774 | bsr=nan | agg=0.20s
round  55 | acc=0.8783 | bsr=nan | agg=0.20s
round  56 | acc=0.8779 | bsr=nan | agg=0.20s
round  57 | acc=0.8800 | bsr=nan | agg=0.19s
round  58 | acc=0.8788 | bsr=nan | agg=0.19s
round  59 | acc=0.8844 | bsr=nan | agg=0.19s
round  60 | acc=0.8829 | bsr=nan | agg=0.19s
