device=cuda dataset=fmnist(real) clients=20 malicious=4 defense=multi_krum attack=adaptive_ecf
round   1 | acc=0.4601 | bsr=0.228 | agg=0.82s | det_auroc=0.656 | tpr@5=0.00
round   2 | acc=0.6172 | bsr=0.043 | agg=0.80s | det_auroc=0.938 | tpr@5=0.50
round   3 | acc=0.6992 | bsr=0.031 | agg=0.79s | det_auroc=0.953 | tpr@5=0.50
round   4 | acc=0.7268 | bsr=0.035 | agg=0.79s | det_auroc=0.984 | tpr@5=0.75
round   5 | acc=0.7525 | bsr=0.037 | agg=0.81s | det_auroc=0.984 | tpr@5=0.75
round   6 | acc=0.7635 | bsr=0.032 | agg=0.79s | det_auroc=0.984 | tpr@5=0.75
round   7 | acc=0.7728 | bsr=0.037 | agg=0.79s | det_auroc=0.984 | tpr@5=0.75
round   8 | acc=0.7699 | bsr=0.050 | agg=0.79s | det_auroc=0.969 | tpr@5=0.75
round   9 | acc=0.7852 | bsr=0.042 | agg=0.80s | det_auroc=0.984 | tpr@5=0.75
round  10 | acc=0.7910 | bsr=0.033 | agg=0.79s | det_auroc=1.000 | tpr@5=1.00
round  11 | acc=0.7980 | bsr=0.039 | agg=0.80s | det_auroc=1.000 | tpr@5=1.00
round  12 | acc=0.8039 | bsr=0.041 | agg=0.80s | det_auroc=1.000 | tpr@5=1.00
round  13 | acc=0.8054 | bsr=0.028 | agg=0.79s | det_auroc=1.000 | tpr@5=1.00
round  14 | acc=0.8089 | bsr=0.037 | agg=0.79s | det_auroc=1.000 | tpr@5=1.00
round  15 | acc=0.8194 | bsr=0.037 | agg=0.80s | det_auroc=1.000 | tpr@5=1.00
round  16 | acc=0.8232 | bsr=0.035 | agg=0.81s | det_auroc=1.000 | tpr@5=1.00
round  17 | acc=0.8238 | bsr=0.034 | agg=0.79s | det_auroc=1.000 | tpr@5=1.00
round  18 | acc=0.8326 | bsr=0.033 | agg=0.81s | det_auroc=1.000 | tpr@5=1.00
round  19 | acc=0.8329 | bsr=0.034 | agg=0.80s | det_auroc=1.000 | tpr@5=1.00
round  20 | acc=0.8370 | bsr=0.031 | agg=0.81s | det_auroc=1.000 | tpr@5=1.00
round  21 | acc=0.8379 | bsr=0.031 | agg=0.81s | det_auroc=1.000 | tpr@5=1.00
round  22 | acc=0.8398 | bsr=0.032 | agg=0.81s | det_auroc=1.000 | tpr@5=1.00
round  23 | acc=0.8453 | bsr=0.030 | agg=0.81s | det_auroc=1.000 | tpr@5=1.00
