device=cuda dataset=fraud(real) clients=20 malicious=4 defense=trimmed_mean attack=lie
round   1 | acc=0.7988 | bsr=nan | agg=0.00s
round   2 | acc=0.8415 | bsr=nan | agg=0.01s
round   3 | acc=0.8552 | bsr=nan | agg=0.01s
round   4 | acc=0.8598 | bsr=nan | agg=0.01s
round   5 | acc=0.8598 | bsr=nan | agg=0.01s
round   6 | acc=0.8537 | bsr=nan | agg=0.01s
round   7 | acc=0.8521 | bsr=nan | agg=0.01s
round   8 | acc=0.8521 | bsr=nan | agg=0.01s
round   9 | acc=0.8552 | bsr=nan | agg=0.01s
round  10 | acc=0.8567 | bsr=nan | agg=0.01s
round  11 | acc=0.8598 | bsr=nan | agg=0.01s
round  12 | acc=0.8598 | bsr=nan | agg=0.01s
round  13 | acc=0.8613 | bsr=nan | agg=0.01s
round  14 | acc=0.8643 | bsr=nan | agg=0.00s
round  15 | acc=0.8659 | bsr=nan | agg=0.00s
round  16 | acc=0.8704 | bsr=nan | agg=0.01s
round  17 | acc=0.8704 | bsr=nan | agg=0.01s
round  18 | acc=0.8765 | bsr=nan | agg=0.01s
round  19 | acc=0.8765 | bsr=nan | agg=0.01s
round  20 | acc=0.8765 | bsr=nan | agg=0.00s
round  21 | acc=0.8765 | bsr=nan | agg=0.01s
round  22 | acc=0.8765 | bsr=nan | agg=0.00s
round  23 | acc=0.8765 | bsr=nan | agg=0.01s
round  24 | acc=0.8780 | bsr=nan | agg=0.00s
round  25 | acc=0.8780 | bsr=nan | agg=0.01s
round  26 | acc=0.8780 | bsr=nan | agg=0.01s
round  27 | acc=0.8780 | bsr=nan | agg=0.00s
round  28 | acc=0.8780 | bsr=nan | agg=0.00s
round  29 | acc=0.8780 | bsr=nan | agg=0.01s
round  30 | acc=0.8780 | bsr=nan | agg=0.01s
round  31 | acc=0.8796 | bsr=nan | agg=0.01s
round  32 | acc=0.8796 | bsr=nan | agg=0.01s
round  33 | acc=0.8796 | bsr=nan | agg=0.01s
round  34 | acc=0.8826 | bsr=nan | agg=0.01s
round  35 | acc=0.8857 | bsr=nan | agg=0.01s
round  36 | acc=0.8872 | bsr=nan | agg=0.01s
round  37 | acc=0.8887 | bsr=nan | agg=0.01s
round  38 | acc=0.8902 | bsr=nan | agg=0.01s
round  39 | acc=0.8918 | bsr=nan | agg=0.01s
round  40 | acc=0.8948 | bsr=nan | agg=0.01s
