device=cuda dataset=fraud(real) clients=20 malicious=4 defense=trimmed_mean attack=label_flip
round   1 | acc=0.6692 | bsr=nan | agg=0.00s
round   2 | acc=0.6845 | bsr=nan | agg=0.00s
round   3 | acc=0.7134 | bsr=nan | agg=0.00s
round   4 | acc=0.7317 | bsr=nan | agg=0.00s
round   5 | acc=0.7607 | bsr=nan | agg=0.00s
round   6 | acc=0.7790 | bsr=nan | agg=0.00s
round   7 | acc=0.8079 | bsr=nan | agg=0.00s
round   8 | acc=0.8186 | bsr=nan | agg=0.00s
round   9 | acc=0.8415 | bsr=nan | agg=0.00s
round  10 | acc=0.8476 | bsr=nan | agg=0.00s
round  11 | acc=0.8613 | bsr=nan | agg=0.00s
round  12 | acc=0.8780 | bsr=nan | agg=0.00s
round  13 | acc=0.8902 | bsr=nan | agg=0.00s
round  14 | acc=0.8963 | bsr=nan | agg=0.00s
round  15 | acc=0.9040 | bsr=nan | agg=0.00s
round  16 | acc=0.9146 | bsr=nan | agg=0.00s
round  17 | acc=0.9223 | bsr=nan | agg=0.00s
round  18 | acc=0.9284 | bsr=nan | agg=0.00s
round  19 | acc=0.9314 | bsr=nan | agg=0.00s
round  20 | acc=0.9345 | bsr=nan | agg=0.00s
round  21 | acc=0.9390 | bsr=nan | agg=0.00s
round  22 | acc=0.9436 | bsr=nan | agg=0.00s
round  23 | acc=0.9466 | bsr=nan | agg=0.00s
round  24 | acc=0.9512 | bsr=nan | agg=0.00s
round  25 | acc=0.9527 | bsr=nan | agg=0.00s
round  26 | acc=0.9558 | bsr=nan | agg=0.00s
round  27 | acc=0.9573 | bsr=nan | agg=0.00s
round  28 | acc=0.9619 | bsr=nan | agg=0.00s
round  29 | acc=0.9604 | bsr=nan | agg=0.00s
round  30 | acc=0.9649 | bsr=nan | agg=0.00s
round  31 | acc=0.9649 | bsr=nan | agg=0.00s
round  32 | acc=0.9665 | bsr=nan | agg=0.00s
round  33 | acc=0.9665 | bsr=nan | agg=0.00s
round  34 | acc=0.9680 | bsr=nan | agg=0.00s
round  35 | acc=0.9695 | bsr=nan | agg=0.00s
round  36 | acc=0.9680 | bsr=nan | agg=0.00s
round  37 | acc=0.9695 | bsr=nan | agg=0.00s
round  38 | acc=0.9695 | bsr=nan | agg=0.00s
round  39 | acc=0.9695 | bsr=nan | agg=0.00s
round  40 | acc=0.9695 | bsr=nan | agg=0.00s
