device=cuda dataset=fraud(real) clients=20 malicious=4 defense=ecf attack=label_flip
round   1 | acc=0.8552 | bsr=nan | agg=0.51s | det_auroc=0.578 | tpr@5=0.00
round   2 | acc=0.8476 | bsr=nan | agg=0.21s | det_auroc=0.594 | tpr@5=0.00
round   3 | acc=0.8476 | bsr=nan | agg=0.21s | det_auroc=0.578 | tpr@5=0.00
round   4 | acc=0.8476 | bsr=nan | agg=0.21s | det_auroc=0.578 | tpr@5=0.00
round   5 | acc=0.8476 | bsr=nan | agg=0.27s | det_auroc=0.656 | tpr@5=0.25
round   6 | acc=0.8476 | bsr=nan | agg=0.24s | det_auroc=0.625 | tpr@5=0.00
round   7 | acc=0.8476 | bsr=nan | agg=0.24s | det_auroc=0.594 | tpr@5=0.00
round   8 | acc=0.8476 | bsr=nan | agg=0.21s | det_auroc=0.562 | tpr@5=0.00
round   9 | acc=0.8476 | bsr=nan | agg=0.34s | det_auroc=0.578 | tpr@5=0.00
round  10 | acc=0.8476 | bsr=nan | agg=0.21s | det_auroc=0.625 | tpr@5=0.00
round  11 | acc=0.8476 | bsr=nan | agg=0.21s | det_auroc=0.609 | tpr@5=0.00
round  12 | acc=0.8476 | bsr=nan | agg=0.23s | det_auroc=0.594 | tpr@5=0.00
round  13 | acc=0.8476 | bsr=nan | agg=0.22s | det_auroc=0.641 | tpr@5=0.00
round  14 | acc=0.8476 | bsr=nan | agg=0.21s | det_auroc=0.641 | tpr@5=0.00
round  15 | acc=0.8476 | bsr=nan | agg=0.23s | det_auroc=0.578 | tpr@5=0.00
round  16 | acc=0.8476 | bsr=nan | agg=0.21s | det_auroc=0.609 | tpr@5=0.00
round  17 | acc=0.8476 | bsr=nan | agg=0.21s | det_auroc=0.609 | tpr@5=0.00
round  18 | acc=0.8476 | bsr=nan | agg=0.21s | det_auroc=0.594 | tpr@5=0.00
round  19 | acc=0.8476 | bsr=nan | agg=0.30s | det_auroc=0.562 | tpr@5=0.00
round  20 | acc=0.8476 | bsr=nan | agg=0.32s | det_auroc=0.578 | tpr@5=0.00
round  21 | acc=0.8476 | bsr=nan | agg=0.24s | det_auroc=0.578 | tpr@5=0.00
round  22 | acc=0.8476 | bsr=nan | agg=0.30s | det_auroc=0.641 | tpr@5=0.00
round  23 | acc=0.8476 | bsr=nan | agg=0.21s | det_auroc=0.625 | tpr@5=0.00
round  24 | acc=0.8476 | bsr=nan | agg=0.21s | det_auroc=0.641 | tpr@5=0.00
round  25 | acc=0.8476 | bsr=nan | agg=0.24s | det_auroc=0.641 | tpr@5=0.00
round  26 | acc=0.8476 | bsr=nan | agg=0.22s | det_auroc=0.641 | tpr@5=0.00
round  27 | acc=0.8476 | bsr=nan | agg=0.20s | det_auroc=0.656 | tpr@5=0.00
round  28 | acc=0.8476 | bsr=nan | agg=0.19s | det_auroc=0.656 | tpr@5=0.00
round  29 | acc=0.8476 | bsr=nan | agg=0.21s | det_auroc=0.656 | tpr@5=0.00
round  30 | acc=0.8476 | bsr=nan | agg=0.30s | det_auroc=0.672 | tpr@5=0.00
round  31 | acc=0.8476 | bsr=nan | agg=0.21s | det_auroc=0.703 | tpr@5=0.00
round  32 | acc=0.8491 | bsr=nan | agg=0.20s | det_auroc=0.719 | tpr@5=0.25
round  33 | acc=0.8521 | bsr=nan | agg=0.21s | det_auroc=0.703 | tpr@5=0.00
round  34 | acc=0.8521 | bsr=nan | agg=0.21s | det_auroc=0.688 | tpr@5=0.00
round  35 | acc=0.8537 | bsr=nan | agg=0.20s | det_auroc=0.703 | tpr@5=0.00
round  36 | acc=0.8567 | bsr=nan | agg=0.25s | det_auroc=0.703 | tpr@5=0.00
round  37 | acc=0.8582 | bsr=nan | agg=0.21s | det_auroc=0.703 | tpr@5=0.00
round  38 | acc=0.8582 | bsr=nan | agg=0.28s | det_auroc=0.750 | tpr@5=0.00
round  39 | acc=0.8613 | bsr=nan | agg=0.21s | det_auroc=0.750 | tpr@5=0.25
round  40 | acc=0.8659 | bsr=nan | agg=0.21s | det_auroc=0.750 | tpr@5=0.00
