device=cuda dataset=fmnist clients=20 malicious=4 defense=ecf attack=backdoor
round   1 | acc=0.0545 | bsr=0.000 | agg=0.50s | det_auroc=0.781 | tpr@5=0.00
round   2 | acc=0.1325 | bsr=0.011 | agg=0.53s | det_auroc=0.766 | tpr@5=0.00
round   3 | acc=0.3491 | bsr=0.438 | agg=0.46s | det_auroc=0.812 | tpr@5=0.00
round   4 | acc=0.3985 | bsr=0.486 | agg=0.46s | det_auroc=0.922 | tpr@5=0.50
round   5 | acc=0.5037 | bsr=0.422 | agg=0.47s | det_auroc=0.969 | tpr@5=0.50
round   6 | acc=0.6113 | bsr=0.320 | agg=0.46s | det_auroc=1.000 | tpr@5=1.00
round   7 | acc=0.6693 | bsr=0.234 | agg=0.56s | det_auroc=0.984 | tpr@5=0.75
round   8 | acc=0.6955 | bsr=0.155 | agg=0.56s | det_auroc=0.922 | tpr@5=0.25
round   9 | acc=0.6926 | bsr=0.125 | agg=0.44s | det_auroc=0.891 | tpr@5=0.00
round  10 | acc=0.6976 | bsr=0.111 | agg=0.50s | det_auroc=0.766 | tpr@5=0.00
round  11 | acc=0.6953 | bsr=0.095 | agg=0.48s | det_auroc=0.672 | tpr@5=0.00
round  12 | acc=0.7029 | bsr=0.095 | agg=0.53s | det_auroc=0.750 | tpr@5=0.00
round  13 | acc=0.7133 | bsr=0.099 | agg=0.52s | det_auroc=0.531 | tpr@5=0.00
round  14 | acc=0.7213 | bsr=0.098 | agg=0.51s | det_auroc=0.562 | tpr@5=0.00
round  15 | acc=0.7248 | bsr=0.095 | agg=0.51s | det_auroc=0.500 | tpr@5=0.00
round  16 | acc=0.7309 | bsr=0.093 | agg=0.51s | det_auroc=0.469 | tpr@5=0.00
round  17 | acc=0.7337 | bsr=0.097 | agg=0.53s | det_auroc=0.500 | tpr@5=0.00
round  18 | acc=0.7394 | bsr=0.103 | agg=0.51s | det_auroc=0.391 | tpr@5=0.00
round  19 | acc=0.7434 | bsr=0.104 | agg=0.54s | det_auroc=0.406 | tpr@5=0.00
round  20 | acc=0.7461 | bsr=0.111 | agg=0.52s | det_auroc=0.297 | tpr@5=0.00
round  21 | acc=0.7474 | bsr=0.114 | agg=0.54s | det_auroc=0.359 | tpr@5=0.00
round  22 | acc=0.7484 | bsr=0.115 | agg=0.51s | det_auroc=0.312 | tpr@5=0.00
round  23 | acc=0.7522 | bsr=0.117 | agg=0.53s | det_auroc=0.234 | tpr@5=0.00
round  24 | acc=0.7563 | bsr=0.119 | agg=0.52s | det_auroc=0.375 | tpr@5=0.00
round  25 | acc=0.7597 | bsr=0.125 | agg=0.52s | det_auroc=0.234 | tpr@5=0.00
round  26 | acc=0.7607 | bsr=0.125 | agg=0.51s | det_auroc=0.266 | tpr@5=0.00
round  27 | acc=0.7633 | bsr=0.131 | agg=0.54s | det_auroc=0.203 | tpr@5=0.00
round  28 | acc=0.7633 | bsr=0.136 | agg=0.54s | det_auroc=0.281 | tpr@5=0.00
round  29 | acc=0.7646 | bsr=0.138 | agg=0.54s | det_auroc=0.234 | tpr@5=0.00
round  30 | acc=0.7669 | bsr=0.152 | agg=0.42s | det_auroc=0.250 | tpr@5=0.00
round  31 | acc=0.7674 | bsr=0.152 | agg=0.53s | det_auroc=0.297 | tpr@5=0.00
round  32 | acc=0.7713 | bsr=0.157 | agg=0.52s | det_auroc=0.109 | tpr@5=0.00
round  33 | acc=0.7731 | bsr=0.164 | agg=0.44s | det_auroc=0.203 | tpr@5=0.00
round  34 | acc=0.7740 | bsr=0.167 | agg=0.52s | det_auroc=0.250 | tpr@5=0.00
round  35 | acc=0.7766 | bsr=0.174 | agg=0.52s | det_auroc=0.297 | tpr@5=0.00
round  36 | acc=0.7791 | bsr=0.181 | agg=0.53s | det_auroc=0.109 | tpr@5=0.00
round  37 | acc=0.7799 | bsr=0.188 | agg=0.52s | det_auroc=0.047 | tpr@5=0.00
round  38 | acc=0.7817 | bsr=0.194 | agg=0.55s | det_auroc=0.188 | tpr@5=0.00
round  39 | acc=0.7831 | bsr=0.195 | agg=0.51s | det_auroc=0.156 | tpr@5=0.00
round  40 | acc=0.7846 | bsr=0.203 | agg=0.55s | det_auroc=0.141 | tpr@5=0.00
round  41 | acc=0.7857 | bsr=0.213 | agg=0.44s | det_auroc=0.219 | tpr@5=0.00
round  42 | acc=0.7866 | bsr=0.221 | agg=0.53s | det_auroc=0.219 | tpr@5=0.00
round  43 | acc=0.7892 | bsr=0.236 | agg=0.48s | det_auroc=0.062 | tpr@5=0.00
round  44 | acc=0.7909 | bsr=0.246 | agg=0.54s | det_auroc=0.125 | tpr@5=0.00
round  45 | acc=0.7930 | bsr=0.251 | agg=0.54s | det_auroc=0.062 | tpr@5=0.00
round  46 | acc=0.7940 | bsr=0.259 | agg=0.52s | det_auroc=0.141 | tpr@5=0.00
round  47 | acc=0.7959 | bsr=0.267 | agg=0.53s | det_auroc=0.141 | tpr@5=0.00
round  48 | acc=0.7966 | bsr=0.281 | agg=0.52s | det_auroc=0.188 | tpr@5=0.00
round  49 | acc=0.7978 | bsr=0.292 | agg=0.53s | det_auroc=0.172 | tpr@5=0.00
round  50 | acc=0.7993 | bsr=0.303 | agg=0.52s | det_auroc=0.109 | tpr@5=0.00
round  51 | acc=0.8003 | bsr=0.308 | agg=0.52s | det_auroc=0.125 | tpr@5=0.00
round  52 | acc=0.8014 | bsr=0.318 | agg=0.50s | det_auroc=0.250 | tpr@5=0.00
round  53 | acc=0.8024 | bsr=0.331 | agg=0.49s | det_auroc=0.250 | tpr@5=0.00
round  54 | acc=0.8031 | bsr=0.342 | agg=0.55s | det_auroc=0.188 | tpr@5=0.00
round  55 | acc=0.8048 | bsr=0.354 | agg=0.51s | det_auroc=0.219 | tpr@5=0.00
round  56 | acc=0.8057 | bsr=0.366 | agg=0.51s | det_auroc=0.219 | tpr@5=0.00
