device=cuda dataset=fmnist clients=20 malicious=4 defense=fltrust attack=backdoor
round   1 | acc=0.0670 | bsr=0.000 | agg=0.06s | det_auroc=0.953 | tpr@5=0.25
round   2 | acc=0.1160 | bsr=0.000 | agg=0.06s | det_auroc=1.000 | tpr@5=1.00
round   3 | acc=0.3565 | bsr=0.032 | agg=0.04s | det_auroc=1.000 | tpr@5=1.00
round   4 | acc=0.4471 | bsr=0.101 | agg=0.04s | det_auroc=0.969 | tpr@5=0.50
round   5 | acc=0.5523 | bsr=0.115 | agg=0.04s | det_auroc=0.969 | tpr@5=0.50
round   6 | acc=0.6554 | bsr=0.085 | agg=0.04s | det_auroc=0.969 | tpr@5=0.50
round   7 | acc=0.6740 | bsr=0.075 | agg=0.04s | det_auroc=1.000 | tpr@5=1.00
round   8 | acc=0.6733 | bsr=0.061 | agg=0.04s | det_auroc=1.000 | tpr@5=1.00
round   9 | acc=0.6752 | bsr=0.055 | agg=0.05s | det_auroc=1.000 | tpr@5=1.00
round  10 | acc=0.6847 | bsr=0.049 | agg=0.05s | det_auroc=1.000 | tpr@5=1.00
round  11 | acc=0.6944 | bsr=0.042 | agg=0.04s | det_auroc=1.000 | tpr@5=1.00
round  12 | acc=0.7025 | bsr=0.034 | agg=0.04s | det_auroc=1.000 | tpr@5=1.00
round  13 | acc=0.7145 | bsr=0.034 | agg=0.04s | det_auroc=1.000 | tpr@5=1.00
round  14 | acc=0.7265 | bsr=0.034 | agg=0.04s | det_auroc=1.000 | tpr@5=1.00
round  15 | acc=0.7276 | bsr=0.035 | agg=0.04s | det_auroc=1.000 | tpr@5=1.00
round  16 | acc=0.7319 | bsr=0.035 | agg=0.04s | det_auroc=1.000 | tpr@5=1.00
round  17 | acc=0.7346 | bsr=0.032 | agg=0.04s | det_auroc=1.000 | tpr@5=1.00
round  18 | acc=0.7405 | bsr=0.033 | agg=0.04s | det_auroc=1.000 | tpr@5=1.00
round  19 | acc=0.7428 | bsr=0.032 | agg=0.04s | det_auroc=0.953 | tpr@5=0.75
