device=cuda dataset=fmnist(real) clients=20 malicious=4 defense=ecf attack=sign_flip
round   1 | acc=0.0485 | bsr=nan | agg=2.63s | det_auroc=0.672 | tpr@5=0.00
round   2 | acc=0.0510 | bsr=nan | agg=2.60s | det_auroc=0.586 | tpr@5=0.00
round   3 | acc=0.0523 | bsr=nan | agg=2.64s | det_auroc=0.766 | tpr@5=0.50
round   4 | acc=0.0534 | bsr=nan | agg=2.63s | det_auroc=0.781 | tpr@5=0.25
round   5 | acc=0.0555 | bsr=nan | agg=2.63s | det_auroc=0.797 | tpr@5=0.25
round   6 | acc=0.0570 | bsr=nan | agg=2.63s | det_auroc=1.000 | tpr@5=1.00
round   7 | acc=0.0602 | bsr=nan | agg=2.63s | det_auroc=1.000 | tpr@5=1.00
round   8 | acc=0.0621 | bsr=nan | agg=2.62s | det_auroc=0.969 | tpr@5=0.75
round   9 | acc=0.0647 | bsr=nan | agg=2.64s | det_auroc=0.969 | tpr@5=0.75
round  10 | acc=0.0677 | bsr=nan | agg=2.64s | det_auroc=0.969 | tpr@5=0.50
round  11 | acc=0.0700 | bsr=nan | agg=2.64s | det_auroc=0.906 | tpr@5=0.50
round  12 | acc=0.0725 | bsr=nan | agg=2.62s | det_auroc=0.922 | tpr@5=0.75
round  13 | acc=0.0758 | bsr=nan | agg=2.63s | det_auroc=0.891 | tpr@5=0.50
round  14 | acc=0.0789 | bsr=nan | agg=2.63s | det_auroc=0.953 | tpr@5=0.75
round  15 | acc=0.0820 | bsr=nan | agg=2.63s | det_auroc=1.000 | tpr@5=1.00
round  16 | acc=0.0855 | bsr=nan | agg=2.63s | det_auroc=0.984 | tpr@5=0.75
round  17 | acc=0.0884 | bsr=nan | agg=2.64s | det_auroc=1.000 | tpr@5=1.00
round  18 | acc=0.0922 | bsr=nan | agg=2.62s | det_auroc=1.000 | tpr@5=1.00
round  19 | acc=0.0964 | bsr=nan | agg=2.64s | det_auroc=1.000 | tpr@5=1.00
round  20 | acc=0.1014 | bsr=nan | agg=2.64s | det_auroc=1.000 | tpr@5=1.00
round  21 | acc=0.1077 | bsr=nan | agg=2.62s | det_auroc=0.984 | tpr@5=0.75
round  22 | acc=0.1165 | bsr=nan | agg=2.62s | det_auroc=0.984 | tpr@5=0.75
round  23 | acc=0.1290 | bsr=nan | agg=2.63s | det_auroc=1.000 | tpr@5=1.00
round  24 | acc=0.1498 | bsr=nan | agg=2.63s | det_auroc=1.000 | tpr@5=1.00
round  25 | acc=0.1764 | bsr=nan | agg=2.63s | det_auroc=1.000 | tpr@5=1.00
round  26 | acc=0.2067 | bsr=nan | agg=2.63s | det_auroc=1.000 | tpr@5=1.00
round  27 | acc=0.2342 | bsr=nan | agg=2.63s | det_auroc=1.000 | tpr@5=1.00
round  28 | acc=0.2624 | bsr=nan | agg=2.63s | det_auroc=1.000 | tpr@5=1.00
