device=cuda dataset=fmnist(real) clients=20 malicious=4 defense=fltrust attack=min_max
round   1 | acc=0.0510 | bsr=nan | agg=0.04s | det_auroc=1.000 | tpr@5=1.00
round   2 | acc=0.0543 | bsr=nan | agg=0.03s | det_auroc=1.000 | tpr@5=1.00
round   3 | acc=0.0587 | bsr=nan | agg=0.03s | det_auroc=1.000 | tpr@5=1.00
round   4 | acc=0.0622 | bsr=nan | agg=0.03s | det_auroc=1.000 | tpr@5=1.00
round   5 | acc=0.0657 | bsr=nan | agg=0.03s | det_auroc=1.000 | tpr@5=1.00
round   6 | acc=0.0698 | bsr=nan | agg=0.03s | det_auroc=1.000 | tpr@5=1.00
round   7 | acc=0.0744 | bsr=nan | agg=0.03s | det_auroc=1.000 | tpr@5=1.00
round   8 | acc=0.0788 | bsr=nan | agg=0.03s | det_auroc=1.000 | tpr@5=1.00
round   9 | acc=0.0835 | bsr=nan | agg=0.03s | det_auroc=1.000 | tpr@5=1.00
round  10 | acc=0.0886 | bsr=nan | agg=0.03s | det_auroc=1.000 | tpr@5=1.00
round  11 | acc=0.0927 | bsr=nan | agg=0.03s | det_auroc=1.000 | tpr@5=1.00
round  12 | acc=0.0960 | bsr=nan | agg=0.03s | det_auroc=1.000 | tpr@5=1.00
round  13 | acc=0.0996 | bsr=nan | agg=0.03s | det_auroc=1.000 | tpr@5=1.00
round  14 | acc=0.1048 | bsr=nan | agg=0.03s | det_auroc=1.000 | tpr@5=1.00
round  15 | acc=0.1136 | bsr=nan | agg=0.03s | det_auroc=1.000 | tpr@5=1.00
round  16 | acc=0.1302 | bsr=nan | agg=0.03s | det_auroc=1.000 | tpr@5=1.00
round  17 | acc=0.1531 | bsr=nan | agg=0.03s | det_auroc=1.000 | tpr@5=1.00
round  18 | acc=0.1808 | bsr=nan | agg=0.03s | det_auroc=1.000 | tpr@5=1.00
round  19 | acc=0.2017 | bsr=nan | agg=0.03s | det_auroc=1.000 | tpr@5=1.00
round  20 | acc=0.2205 | bsr=nan | agg=0.03s | det_auroc=1.000 | tpr@5=1.00
round  21 | acc=0.2398 | bsr=nan | agg=0.03s | det_auroc=1.000 | tpr@5=1.00
round  22 | acc=0.2618 | bsr=nan | agg=0.03s | det_auroc=1.000 | tpr@5=1.00
round  23 | acc=0.2884 | bsr=nan | agg=0.03s | det_auroc=1.000 | tpr@5=1.00
round  24 | acc=0.3216 | bsr=nan | agg=0.03s | det_auroc=1.000 | tpr@5=1.00
round  25 | acc=0.3642 | bsr=nan | agg=0.03s | det_auroc=1.000 | tpr@5=1.00
round  26 | acc=0.4070 | bsr=nan | agg=0.03s | det_auroc=1.000 | tpr@5=1.00
round  27 | acc=0.4426 | bsr=nan | agg=0.03s | det_auroc=1.000 | tpr@5=1.00
round  28 | acc=0.4783 | bsr=nan | agg=0.03s | det_auroc=1.000 | tpr@5=1.00
round  29 | acc=0.5170 | bsr=nan | agg=0.03s | det_auroc=1.000 | tpr@5=1.00
round  30 | acc=0.5487 | bsr=nan | agg=0.03s | det_auroc=1.000 | tpr@5=1.00
round  31 | acc=0.5743 | bsr=nan | agg=0.03s | det_auroc=1.000 | tpr@5=1.00
round  32 | acc=0.6000 | bsr=nan | agg=0.03s | det_auroc=1.000 | tpr@5=1.00
round  33 | acc=0.6142 | bsr=nan | agg=0.03s | det_auroc=1.000 | tpr@5=1.00
round  34 | acc=0.6296 | bsr=nan | agg=0.03s | det_auroc=1.000 | tpr@5=1.00
round  35 | acc=0.6398 | bsr=nan | agg=0.03s | det_auroc=1.000 | tpr@5=1.00
round  36 | acc=0.6473 | bsr=nan | agg=0.03s | det_auroc=1.000 | tpr@5=1.00
round  37 | acc=0.6524 | bsr=nan | agg=0.03s | det_auroc=1.000 | tpr@5=1.00
round  38 | acc=0.6609 | bsr=nan | agg=0.03s | det_auroc=1.000 | tpr@5=1.00
round  39 | acc=0.6642 | bsr=nan | agg=0.03s | det_auroc=1.000 | tpr@5=1.00
round  40 | acc=0.6708 | bsr=nan | agg=0.03s | det_auroc=1.000 | tpr@5=1.00
round  41 | acc=0.6750 | bsr=nan | agg=0.03s | det_auroc=1.000 | tpr@5=1.00
round  42 | acc=0.6766 | bsr=nan | agg=0.03s | det_auroc=1.000 | tpr@5=1.00
round  43 | acc=0.6770 | bsr=nan | agg=0.03s | det_auroc=1.000 | tpr@5=1.00
round  44 | acc=0.6784 | bsr=nan | agg=0.03s | det_auroc=1.000 | tpr@5=1.00
round  45 | acc=0.6811 | bsr=nan | agg=0.03s | det_auroc=1.000 | tpr@5=1.00
round  46 | acc=0.6812 | bsr=nan | agg=0.03s | det_auroc=1.000 | tpr@5=1.00
round  47 | acc=0.6820 | bsr=nan | agg=0.03s | det_auroc=1.000 | tpr@5=1.00
round  48 | acc=0.6837 | bsr=nan | agg=0.03s | det_auroc=1.000 | tpr@5=1.00
round  49 | acc=0.6835 | bsr=nan | agg=0.03s | det_auroc=1.000 | tpr@5=1.00
round  50 | acc=0.6822 | bsr=nan | agg=0.03s | det_auroc=1.000 | tpr@5=1.00
round  51 | acc=0.6813 | bsr=nan | agg=0.03s | det_auroc=1.000 | tpr@5=1.00
round  52 | acc=0.6832 | bsr=nan | agg=0.03s | det_auroc=1.000 | tpr@5=1.00
round  53 | acc=0.6819 | bsr=nan | agg=0.03s | det_auroc=1.000 | tpr@5=1.00
round  54 | acc=0.6823 | bsr=nan | agg=0.03s | det_auroc=1.000 | tpr@5=1.00
round  55 | acc=0.6841 | bsr=nan | agg=0.03s | det_auroc=1.000 | tpr@5=1.00
round  56 | acc=0.6857 | bsr=nan | agg=0.03s | det_auroc=1.000 | tpr@5=1.00
round  57 | acc=0.6855 | bsr=nan | agg=0.03s | det_auroc=1.000 | tpr@5=1.00
round  58 | acc=0.6848 | bsr=nan | agg=0.03s | det_auroc=1.000 | tpr@5=1.00
round  59 | acc=0.6835 | bsr=nan | agg=0.03s | det_auroc=1.000 | tpr@5=1.00
round  60 | acc=0.6846 | bsr=nan | agg=0.03s | det_auroc=1.000 | tpr@5=1.00
