device=cuda dataset=fmnist(real) clients=20 malicious=4 defense=median attack=sign_flip
round   1 | acc=0.3981 | bsr=nan | agg=0.19s
round   2 | acc=0.5468 | bsr=nan | agg=0.19s
round   3 | acc=0.6371 | bsr=nan | agg=0.18s
round   4 | acc=0.6742 | bsr=nan | agg=0.19s
round   5 | acc=0.6951 | bsr=nan | agg=0.18s
round   6 | acc=0.7055 | bsr=nan | agg=0.18s
round   7 | acc=0.7112 | bsr=nan | agg=0.19s
round   8 | acc=0.7186 | bsr=nan | agg=0.18s
round   9 | acc=0.7273 | bsr=nan | agg=0.18s
round  10 | acc=0.7456 | bsr=nan | agg=0.19s
round  11 | acc=0.7507 | bsr=nan | agg=0.18s
round  12 | acc=0.7536 | bsr=nan | agg=0.19s
round  13 | acc=0.7552 | bsr=nan | agg=0.19s
round  14 | acc=0.7658 | bsr=nan | agg=0.20s
round  15 | acc=0.7733 | bsr=nan | agg=0.20s
round  16 | acc=0.7772 | bsr=nan | agg=0.19s
round  17 | acc=0.7813 | bsr=nan | agg=0.20s
round  18 | acc=0.7886 | bsr=nan | agg=0.20s
round  19 | acc=0.7917 | bsr=nan | agg=0.20s
round  20 | acc=0.7961 | bsr=nan | agg=0.20s
round  21 | acc=0.7933 | bsr=nan | agg=0.20s
round  22 | acc=0.8010 | bsr=nan | agg=0.20s
round  23 | acc=0.8011 | bsr=nan | agg=0.20s
round  24 | acc=0.7983 | bsr=nan | agg=0.20s
round  25 | acc=0.8037 | bsr=nan | agg=0.21s
round  26 | acc=0.8014 | bsr=nan | agg=0.20s
round  27 | acc=0.8033 | bsr=nan | agg=0.20s
round  28 | acc=0.8073 | bsr=nan | agg=0.20s
round  29 | acc=0.8039 | bsr=nan | agg=0.20s
round  30 | acc=0.8131 | bsr=nan | agg=0.20s
round  31 | acc=0.8182 | bsr=nan | agg=0.20s
round  32 | acc=0.8240 | bsr=nan | agg=0.20s
round  33 | acc=0.8280 | bsr=nan | agg=0.19s
round  34 | acc=0.8338 | bsr=nan | agg=0.19s
round  35 | acc=0.8233 | bsr=nan | agg=0.19s
round  36 | acc=0.8304 | bsr=nan | agg=0.19s
round  37 | acc=0.8304 | bsr=nan | agg=0.19s
round  38 | acc=0.8302 | bsr=nan | agg=0.19s
round  39 | acc=0.8362 | bsr=nan | agg=0.19s
round  40 | acc=0.8395 | bsr=nan | agg=0.19s
round  41 | acc=0.8316 | bsr=nan | agg=0.19s
round  42 | acc=0.8427 | bsr=nan | agg=0.19s
round  43 | acc=0.8370 | bsr=nan | agg=0.20s
round  44 | acc=0.8372 | bsr=nan | agg=0.20s
round  45 | acc=0.8449 | bsr=nan | agg=0.20s
round  46 | acc=0.8445 | bsr=nan | agg=0.20s
round  47 | acc=0.8451 | bsr=nan | agg=0.20s
round  48 | acc=0.8488 | bsr=nan | agg=0.20s
round  49 | acc=0.8469 | bsr=nan | agg=0.20s
round  50 | acc=0.8433 | bsr=nan | agg=0.20s
round  51 | acc=0.8467 | bsr=nan | agg=0.20s
round  52 | acc=0.8436 | bsr=nan | agg=0.20s
round  53 | acc=0.8458 | bsr=nan | agg=0.20s
round  54 | acc=0.8436 | bsr=nan | agg=0.21s
round  55 | acc=0.8526 | bsr=nan | agg=0.20s
round  56 | acc=0.8556 | bsr=nan | agg=0.20s
round  57 | acc=0.8559 | bsr=nan | agg=0.20s
round  58 | acc=0.8559 | bsr=nan | agg=0.20s
round  59 | acc=0.8581 | bsr=nan | agg=0.20s
round  60 | acc=0.8597 | bsr=nan | agg=0.21s
