device=cuda dataset=fmnist(real) clients=20 malicious=4 defense=trimmed_mean attack=spurious_feature
round   1 | acc=0.5075 | bsr=nan | agg=0.20s
round   2 | acc=0.6485 | bsr=nan | agg=0.20s
round   3 | acc=0.6994 | bsr=nan | agg=0.19s
round   4 | acc=0.7212 | bsr=nan | agg=0.20s
round   5 | acc=0.7479 | bsr=nan | agg=0.20s
round   6 | acc=0.7627 | bsr=nan | agg=0.20s
round   7 | acc=0.7746 | bsr=nan | agg=0.19s
round   8 | acc=0.7804 | bsr=nan | agg=0.20s
round   9 | acc=0.7880 | bsr=nan | agg=0.20s
round  10 | acc=0.7950 | bsr=nan | agg=0.21s
round  11 | acc=0.8009 | bsr=nan | agg=0.20s
round  12 | acc=0.8039 | bsr=nan | agg=0.21s
round  13 | acc=0.8131 | bsr=nan | agg=0.20s
round  14 | acc=0.8139 | bsr=nan | agg=0.20s
round  15 | acc=0.8244 | bsr=nan | agg=0.20s
round  16 | acc=0.8271 | bsr=nan | agg=0.20s
round  17 | acc=0.8280 | bsr=nan | agg=0.20s
round  18 | acc=0.8372 | bsr=nan | agg=0.20s
round  19 | acc=0.8389 | bsr=nan | agg=0.20s
round  20 | acc=0.8427 | bsr=nan | agg=0.20s
round  21 | acc=0.8424 | bsr=nan | agg=0.20s
round  22 | acc=0.8489 | bsr=nan | agg=0.21s
round  23 | acc=0.8504 | bsr=nan | agg=0.21s
round  24 | acc=0.8513 | bsr=nan | agg=0.20s
round  25 | acc=0.8553 | bsr=nan | agg=0.20s
round  26 | acc=0.8547 | bsr=nan | agg=0.21s
round  27 | acc=0.8559 | bsr=nan | agg=0.21s
round  28 | acc=0.8571 | bsr=nan | agg=0.21s
round  29 | acc=0.8557 | bsr=nan | agg=0.20s
round  30 | acc=0.8596 | bsr=nan | agg=0.20s
round  31 | acc=0.8589 | bsr=nan | agg=0.20s
round  32 | acc=0.8636 | bsr=nan | agg=0.21s
round  33 | acc=0.8599 | bsr=nan | agg=0.21s
round  34 | acc=0.8645 | bsr=nan | agg=0.21s
round  35 | acc=0.8639 | bsr=nan | agg=0.21s
round  36 | acc=0.8655 | bsr=nan | agg=0.21s
round  37 | acc=0.8665 | bsr=nan | agg=0.20s
round  38 | acc=0.8647 | bsr=nan | agg=0.21s
round  39 | acc=0.8669 | bsr=nan | agg=0.20s
round  40 | acc=0.8677 | bsr=nan | agg=0.21s
round  41 | acc=0.8699 | bsr=nan | agg=0.21s
round  42 | acc=0.8705 | bsr=nan | agg=0.21s
round  43 | acc=0.8740 | bsr=nan | agg=0.20s
round  44 | acc=0.8722 | bsr=nan | agg=0.21s
round  45 | acc=0.8746 | bsr=nan | agg=0.21s
round  46 | acc=0.8728 | bsr=nan | agg=0.21s
round  47 | acc=0.8752 | bsr=nan | agg=0.21s
round  48 | acc=0.8766 | bsr=nan | agg=0.21s
round  49 | acc=0.8770 | bsr=nan | agg=0.21s
round  50 | acc=0.8784 | bsr=nan | agg=0.21s
round  51 | acc=0.8770 | bsr=nan | agg=0.20s
round  52 | acc=0.8782 | bsr=nan | agg=0.21s
round  53 | acc=0.8786 | bsr=nan | agg=0.21s
round  54 | acc=0.8791 | bsr=nan | agg=0.21s
round  55 | acc=0.8801 | bsr=nan | agg=0.21s
round  56 | acc=0.8792 | bsr=nan | agg=0.21s
round  57 | acc=0.8822 | bsr=nan | agg=0.21s
round  58 | acc=0.8800 | bsr=nan | agg=0.21s
round  59 | acc=0.8812 | bsr=nan | agg=0.21s
round  60 | acc=0.8818 | bsr=nan | agg=0.21s
