device=cuda dataset=fmnist(real) clients=20 malicious=4 defense=multi_krum attack=sign_flip
round   1 | acc=0.4639 | bsr=nan | agg=0.81s | det_auroc=0.953 | tpr@5=0.50
round   2 | acc=0.6397 | bsr=nan | agg=0.80s | det_auroc=1.000 | tpr@5=1.00
round   3 | acc=0.6988 | bsr=nan | agg=0.80s | det_auroc=0.984 | tpr@5=0.75
round   4 | acc=0.7293 | bsr=nan | agg=0.81s | det_auroc=1.000 | tpr@5=1.00
round   5 | acc=0.7508 | bsr=nan | agg=0.80s | det_auroc=1.000 | tpr@5=1.00
round   6 | acc=0.7376 | bsr=nan | agg=0.82s | det_auroc=0.984 | tpr@5=0.75
round   7 | acc=0.7605 | bsr=nan | agg=0.81s | det_auroc=0.938 | tpr@5=0.25
round   8 | acc=0.7522 | bsr=nan | agg=0.80s | det_auroc=0.984 | tpr@5=0.75
round   9 | acc=0.7802 | bsr=nan | agg=0.80s | det_auroc=0.984 | tpr@5=0.75
round  10 | acc=0.7746 | bsr=nan | agg=0.82s | det_auroc=0.938 | tpr@5=0.50
round  11 | acc=0.7886 | bsr=nan | agg=0.81s | det_auroc=0.953 | tpr@5=0.25
round  12 | acc=0.7922 | bsr=nan | agg=0.81s | det_auroc=0.969 | tpr@5=0.50
round  13 | acc=0.7897 | bsr=nan | agg=0.80s | det_auroc=0.953 | tpr@5=0.25
round  14 | acc=0.8070 | bsr=nan | agg=0.82s | det_auroc=0.969 | tpr@5=0.50
round  15 | acc=0.7979 | bsr=nan | agg=0.80s | det_auroc=0.938 | tpr@5=0.50
round  16 | acc=0.8076 | bsr=nan | agg=0.81s | det_auroc=0.953 | tpr@5=0.25
round  17 | acc=0.8137 | bsr=nan | agg=0.81s | det_auroc=0.906 | tpr@5=0.25
round  18 | acc=0.8162 | bsr=nan | agg=0.80s | det_auroc=0.969 | tpr@5=0.75
round  19 | acc=0.8218 | bsr=nan | agg=0.80s | det_auroc=0.938 | tpr@5=0.00
round  20 | acc=0.8242 | bsr=nan | agg=0.82s | det_auroc=0.922 | tpr@5=0.25
