device=cuda dataset=fmnist(real) clients=20 malicious=4 defense=fltrust attack=adaptive_ecf
round   1 | acc=0.0508 | bsr=0.000 | agg=0.04s | det_auroc=0.969 | tpr@5=0.50
round   2 | acc=0.0531 | bsr=0.000 | agg=0.03s | det_auroc=0.969 | tpr@5=0.50
round   3 | acc=0.0565 | bsr=0.000 | agg=0.03s | det_auroc=0.969 | tpr@5=0.50
round   4 | acc=0.0601 | bsr=0.000 | agg=0.03s | det_auroc=0.969 | tpr@5=0.50
round   5 | acc=0.0629 | bsr=0.000 | agg=0.03s | det_auroc=0.969 | tpr@5=0.50
round   6 | acc=0.0664 | bsr=0.000 | agg=0.03s | det_auroc=0.984 | tpr@5=0.75
round   7 | acc=0.0709 | bsr=0.000 | agg=0.03s | det_auroc=0.969 | tpr@5=0.50
round   8 | acc=0.0758 | bsr=0.000 | agg=0.03s | det_auroc=0.969 | tpr@5=0.50
round   9 | acc=0.0808 | bsr=0.000 | agg=0.03s | det_auroc=0.969 | tpr@5=0.50
round  10 | acc=0.0849 | bsr=0.000 | agg=0.03s | det_auroc=0.984 | tpr@5=0.75
round  11 | acc=0.0905 | bsr=0.000 | agg=0.03s | det_auroc=0.969 | tpr@5=0.50
round  12 | acc=0.0941 | bsr=0.000 | agg=0.03s | det_auroc=0.984 | tpr@5=0.75
round  13 | acc=0.0976 | bsr=0.000 | agg=0.03s | det_auroc=0.984 | tpr@5=0.75
round  14 | acc=0.1038 | bsr=0.000 | agg=0.03s | det_auroc=0.984 | tpr@5=0.75
round  15 | acc=0.1103 | bsr=0.000 | agg=0.03s | det_auroc=1.000 | tpr@5=1.00
round  16 | acc=0.1235 | bsr=0.000 | agg=0.03s | det_auroc=0.984 | tpr@5=0.75
round  17 | acc=0.1455 | bsr=0.000 | agg=0.03s | det_auroc=0.984 | tpr@5=0.75
round  18 | acc=0.1763 | bsr=0.000 | agg=0.03s | det_auroc=0.984 | tpr@5=0.75
round  19 | acc=0.2073 | bsr=0.000 | agg=0.03s | det_auroc=0.984 | tpr@5=0.75
round  20 | acc=0.2366 | bsr=0.001 | agg=0.03s | det_auroc=1.000 | tpr@5=1.00
round  21 | acc=0.2630 | bsr=0.002 | agg=0.03s | det_auroc=1.000 | tpr@5=1.00
round  22 | acc=0.2887 | bsr=0.004 | agg=0.03s | det_auroc=0.984 | tpr@5=0.75
round  23 | acc=0.3231 | bsr=0.006 | agg=0.03s | det_auroc=0.984 | tpr@5=0.75
round  24 | acc=0.3597 | bsr=0.010 | agg=0.03s | det_auroc=0.984 | tpr@5=0.75
round  25 | acc=0.3959 | bsr=0.014 | agg=0.03s | det_auroc=0.984 | tpr@5=0.75
round  26 | acc=0.4293 | bsr=0.020 | agg=0.03s | det_auroc=0.984 | tpr@5=0.75
round  27 | acc=0.4603 | bsr=0.026 | agg=0.03s | det_auroc=0.984 | tpr@5=0.75
round  28 | acc=0.4885 | bsr=0.033 | agg=0.03s | det_auroc=0.984 | tpr@5=0.75
round  29 | acc=0.5196 | bsr=0.040 | agg=0.03s | det_auroc=0.984 | tpr@5=0.75
round  30 | acc=0.5502 | bsr=0.045 | agg=0.03s | det_auroc=1.000 | tpr@5=1.00
round  31 | acc=0.5773 | bsr=0.048 | agg=0.03s | det_auroc=1.000 | tpr@5=1.00
round  32 | acc=0.6002 | bsr=0.050 | agg=0.03s | det_auroc=0.969 | tpr@5=0.50
round  33 | acc=0.6206 | bsr=0.053 | agg=0.03s | det_auroc=1.000 | tpr@5=1.00
round  34 | acc=0.6355 | bsr=0.054 | agg=0.03s | det_auroc=0.984 | tpr@5=0.75
round  35 | acc=0.6471 | bsr=0.054 | agg=0.03s | det_auroc=1.000 | tpr@5=1.00
round  36 | acc=0.6586 | bsr=0.056 | agg=0.03s | det_auroc=1.000 | tpr@5=1.00
round  37 | acc=0.6687 | bsr=0.056 | agg=0.03s | det_auroc=1.000 | tpr@5=1.00
round  38 | acc=0.6733 | bsr=0.057 | agg=0.03s | det_auroc=1.000 | tpr@5=1.00
round  39 | acc=0.6814 | bsr=0.056 | agg=0.03s | det_auroc=1.000 | tpr@5=1.00
round  40 | acc=0.6855 | bsr=0.055 | agg=0.03s | det_auroc=1.000 | tpr@5=1.00
round  41 | acc=0.6901 | bsr=0.053 | agg=0.03s | det_auroc=1.000 | tpr@5=1.00
round  42 | acc=0.6939 | bsr=0.053 | agg=0.03s | det_auroc=1.000 | tpr@5=1.00
round  43 | acc=0.6970 | bsr=0.052 | agg=0.03s | det_auroc=1.000 | tpr@5=1.00
round  44 | acc=0.7004 | bsr=0.051 | agg=0.03s | det_auroc=1.000 | tpr@5=1.00
round  45 | acc=0.7022 | bsr=0.050 | agg=0.03s | det_auroc=1.000 | tpr@5=1.00
round  46 | acc=0.7022 | bsr=0.049 | agg=0.04s | det_auroc=1.000 | tpr@5=1.00
round  47 | acc=0.7032 | bsr=0.049 | agg=0.03s | det_auroc=1.000 | tpr@5=1.00
round  48 | acc=0.7020 | bsr=0.049 | agg=0.03s | det_auroc=1.000 | tpr@5=1.00
round  49 | acc=0.6998 | bsr=0.048 | agg=0.03s | det_auroc=1.000 | tpr@5=1.00
round  50 | acc=0.6993 | bsr=0.048 | agg=0.03s | det_auroc=1.000 | tpr@5=1.00
round  51 | acc=0.6982 | bsr=0.048 | agg=0.03s | det_auroc=1.000 | tpr@5=1.00
round  52 | acc=0.6974 | bsr=0.048 | agg=0.03s | det_auroc=1.000 | tpr@5=1.00
round  53 | acc=0.6950 | bsr=0.047 | agg=0.03s | det_auroc=1.000 | tpr@5=1.00
round  54 | acc=0.6961 | bsr=0.047 | agg=0.03s | det_auroc=1.000 | tpr@5=1.00
round  55 | acc=0.6953 | bsr=0.047 | agg=0.03s | det_auroc=1.000 | tpr@5=1.00
round  56 | acc=0.6941 | bsr=0.047 | agg=0.03s | det_auroc=1.000 | tpr@5=1.00
round  57 | acc=0.6930 | bsr=0.046 | agg=0.03s | det_auroc=1.000 | tpr@5=1.00
round  58 | acc=0.6926 | bsr=0.045 | agg=0.03s | det_auroc=1.000 | tpr@5=1.00
round  59 | acc=0.6913 | bsr=0.045 | agg=0.03s | det_auroc=1.000 | tpr@5=1.00
round  60 | acc=0.6915 | bsr=0.043 | agg=0.03s | det_auroc=1.000 | tpr@5=1.00
