device=cuda dataset=fmnist(real) clients=20 malicious=4 defense=trimmed_mean attack=lie
round   1 | acc=0.4464 | bsr=nan | agg=0.15s
round   2 | acc=0.5629 | bsr=nan | agg=0.16s
round   3 | acc=0.6641 | bsr=nan | agg=0.16s
round   4 | acc=0.6937 | bsr=nan | agg=0.14s
round   5 | acc=0.7360 | bsr=nan | agg=0.16s
round   6 | acc=0.7394 | bsr=nan | agg=0.15s
round   7 | acc=0.7605 | bsr=nan | agg=0.15s
round   8 | acc=0.7628 | bsr=nan | agg=0.15s
round   9 | acc=0.7844 | bsr=nan | agg=0.15s
round  10 | acc=0.7858 | bsr=nan | agg=0.15s
round  11 | acc=0.7904 | bsr=nan | agg=0.16s
round  12 | acc=0.7965 | bsr=nan | agg=0.15s
round  13 | acc=0.7989 | bsr=nan | agg=0.16s
round  14 | acc=0.8136 | bsr=nan | agg=0.16s
round  15 | acc=0.8114 | bsr=nan | agg=0.15s
round  16 | acc=0.8180 | bsr=nan | agg=0.15s
round  17 | acc=0.8268 | bsr=nan | agg=0.15s
round  18 | acc=0.8291 | bsr=nan | agg=0.15s
round  19 | acc=0.8331 | bsr=nan | agg=0.16s
round  20 | acc=0.8367 | bsr=nan | agg=0.16s
round  21 | acc=0.8367 | bsr=nan | agg=0.16s
round  22 | acc=0.8459 | bsr=nan | agg=0.16s
round  23 | acc=0.8449 | bsr=nan | agg=0.15s
round  24 | acc=0.8470 | bsr=nan | agg=0.17s
round  25 | acc=0.8467 | bsr=nan | agg=0.17s
round  26 | acc=0.8503 | bsr=nan | agg=0.17s
round  27 | acc=0.8545 | bsr=nan | agg=0.17s
round  28 | acc=0.8519 | bsr=nan | agg=0.17s
round  29 | acc=0.8539 | bsr=nan | agg=0.16s
round  30 | acc=0.8590 | bsr=nan | agg=0.17s
round  31 | acc=0.8596 | bsr=nan | agg=0.17s
round  32 | acc=0.8615 | bsr=nan | agg=0.16s
round  33 | acc=0.8620 | bsr=nan | agg=0.16s
round  34 | acc=0.8626 | bsr=nan | agg=0.17s
round  35 | acc=0.8644 | bsr=nan | agg=0.16s
round  36 | acc=0.8629 | bsr=nan | agg=0.16s
round  37 | acc=0.8676 | bsr=nan | agg=0.15s
round  38 | acc=0.8643 | bsr=nan | agg=0.16s
round  39 | acc=0.8700 | bsr=nan | agg=0.16s
round  40 | acc=0.8689 | bsr=nan | agg=0.16s
round  41 | acc=0.8678 | bsr=nan | agg=0.16s
round  42 | acc=0.8711 | bsr=nan | agg=0.16s
round  43 | acc=0.8708 | bsr=nan | agg=0.17s
round  44 | acc=0.8727 | bsr=nan | agg=0.17s
round  45 | acc=0.8744 | bsr=nan | agg=0.16s
round  46 | acc=0.8720 | bsr=nan | agg=0.17s
round  47 | acc=0.8727 | bsr=nan | agg=0.17s
round  48 | acc=0.8753 | bsr=nan | agg=0.16s
round  49 | acc=0.8738 | bsr=nan | agg=0.17s
round  50 | acc=0.8737 | bsr=nan | agg=0.17s
round  51 | acc=0.8779 | bsr=nan | agg=0.17s
round  52 | acc=0.8750 | bsr=nan | agg=0.17s
round  53 | acc=0.8734 | bsr=nan | agg=0.17s
round  54 | acc=0.8776 | bsr=nan | agg=0.17s
round  55 | acc=0.8771 | bsr=nan | agg=0.17s
round  56 | acc=0.8764 | bsr=nan | agg=0.17s
round  57 | acc=0.8764 | bsr=nan | agg=0.17s
round  58 | acc=0.8789 | bsr=nan | agg=0.17s
round  59 | acc=0.8800 | bsr=nan | agg=0.17s
round  60 | acc=0.8802 | bsr=nan | agg=0.17s
