device=cuda dataset=fmnist(real) clients=20 malicious=4 defense=trimmed_mean attack=min_max
round   1 | acc=0.3765 | bsr=nan | agg=0.18s
round   2 | acc=0.5437 | bsr=nan | agg=0.18s
round   3 | acc=0.6362 | bsr=nan | agg=0.18s
round   4 | acc=0.6724 | bsr=nan | agg=0.16s
round   5 | acc=0.7057 | bsr=nan | agg=0.18s
round   6 | acc=0.7160 | bsr=nan | agg=0.16s
round   7 | acc=0.7252 | bsr=nan | agg=0.17s
round   8 | acc=0.7346 | bsr=nan | agg=0.18s
round   9 | acc=0.7474 | bsr=nan | agg=0.18s
round  10 | acc=0.7516 | bsr=nan | agg=0.19s
round  11 | acc=0.7591 | bsr=nan | agg=0.19s
round  12 | acc=0.7581 | bsr=nan | agg=0.18s
round  13 | acc=0.7644 | bsr=nan | agg=0.19s
round  14 | acc=0.7700 | bsr=nan | agg=0.19s
round  15 | acc=0.7737 | bsr=nan | agg=0.19s
round  16 | acc=0.7778 | bsr=nan | agg=0.19s
round  17 | acc=0.7853 | bsr=nan | agg=0.18s
round  18 | acc=0.7881 | bsr=nan | agg=0.19s
round  19 | acc=0.7898 | bsr=nan | agg=0.18s
round  20 | acc=0.7941 | bsr=nan | agg=0.19s
round  21 | acc=0.7924 | bsr=nan | agg=0.19s
round  22 | acc=0.7969 | bsr=nan | agg=0.19s
round  23 | acc=0.7973 | bsr=nan | agg=0.16s
round  24 | acc=0.8011 | bsr=nan | agg=0.20s
round  25 | acc=0.8033 | bsr=nan | agg=0.19s
round  26 | acc=0.8031 | bsr=nan | agg=0.19s
round  27 | acc=0.8049 | bsr=nan | agg=0.20s
round  28 | acc=0.8062 | bsr=nan | agg=0.18s
round  29 | acc=0.8040 | bsr=nan | agg=0.18s
round  30 | acc=0.8098 | bsr=nan | agg=0.18s
round  31 | acc=0.8141 | bsr=nan | agg=0.18s
round  32 | acc=0.8150 | bsr=nan | agg=0.18s
round  33 | acc=0.8196 | bsr=nan | agg=0.18s
round  34 | acc=0.8210 | bsr=nan | agg=0.18s
round  35 | acc=0.8203 | bsr=nan | agg=0.18s
round  36 | acc=0.8216 | bsr=nan | agg=0.19s
round  37 | acc=0.8210 | bsr=nan | agg=0.17s
round  38 | acc=0.8199 | bsr=nan | agg=0.18s
round  39 | acc=0.8239 | bsr=nan | agg=0.18s
round  40 | acc=0.8233 | bsr=nan | agg=0.20s
round  41 | acc=0.8236 | bsr=nan | agg=0.19s
round  42 | acc=0.8312 | bsr=nan | agg=0.18s
round  43 | acc=0.8278 | bsr=nan | agg=0.18s
round  44 | acc=0.8275 | bsr=nan | agg=0.19s
round  45 | acc=0.8317 | bsr=nan | agg=0.19s
round  46 | acc=0.8320 | bsr=nan | agg=0.19s
round  47 | acc=0.8351 | bsr=nan | agg=0.20s
round  48 | acc=0.8331 | bsr=nan | agg=0.18s
round  49 | acc=0.8320 | bsr=nan | agg=0.20s
round  50 | acc=0.8329 | bsr=nan | agg=0.20s
round  51 | acc=0.8382 | bsr=nan | agg=0.19s
round  52 | acc=0.8348 | bsr=nan | agg=0.20s
round  53 | acc=0.8340 | bsr=nan | agg=0.20s
round  54 | acc=0.8347 | bsr=nan | agg=0.20s
round  55 | acc=0.8386 | bsr=nan | agg=0.20s
round  56 | acc=0.8385 | bsr=nan | agg=0.20s
round  57 | acc=0.8385 | bsr=nan | agg=0.20s
round  58 | acc=0.8411 | bsr=nan | agg=0.19s
round  59 | acc=0.8404 | bsr=nan | agg=0.19s
round  60 | acc=0.8396 | bsr=nan | agg=0.19s
