device=cuda dataset=fmnist(real) clients=20 malicious=4 defense=ecf attack=label_flip
round   1 | acc=0.0488 | bsr=nan | agg=0.18s | det_auroc=0.984 | tpr@5=0.75
round   2 | acc=0.0517 | bsr=nan | agg=0.17s | det_auroc=1.000 | tpr@5=1.00
round   3 | acc=0.0535 | bsr=nan | agg=0.17s | det_auroc=0.984 | tpr@5=0.75
round   4 | acc=0.0566 | bsr=nan | agg=0.18s | det_auroc=1.000 | tpr@5=1.00
round   5 | acc=0.0610 | bsr=nan | agg=0.17s | det_auroc=1.000 | tpr@5=1.00
round   6 | acc=0.0628 | bsr=nan | agg=0.18s | det_auroc=1.000 | tpr@5=1.00
round   7 | acc=0.0670 | bsr=nan | agg=0.16s | det_auroc=1.000 | tpr@5=1.00
round   8 | acc=0.0701 | bsr=nan | agg=0.17s | det_auroc=1.000 | tpr@5=1.00
round   9 | acc=0.0736 | bsr=nan | agg=0.17s | det_auroc=0.984 | tpr@5=0.75
round  10 | acc=0.0772 | bsr=nan | agg=0.17s | det_auroc=1.000 | tpr@5=1.00
round  11 | acc=0.0806 | bsr=nan | agg=0.16s | det_auroc=1.000 | tpr@5=1.00
round  12 | acc=0.0850 | bsr=nan | agg=0.18s | det_auroc=1.000 | tpr@5=1.00
round  13 | acc=0.0878 | bsr=nan | agg=0.17s | det_auroc=1.000 | tpr@5=1.00
round  14 | acc=0.0906 | bsr=nan | agg=0.18s | det_auroc=1.000 | tpr@5=1.00
round  15 | acc=0.0925 | bsr=nan | agg=0.16s | det_auroc=1.000 | tpr@5=1.00
round  16 | acc=0.0949 | bsr=nan | agg=0.17s | det_auroc=1.000 | tpr@5=1.00
round  17 | acc=0.0966 | bsr=nan | agg=0.16s | det_auroc=1.000 | tpr@5=1.00
round  18 | acc=0.0984 | bsr=nan | agg=0.17s | det_auroc=1.000 | tpr@5=1.00
round  19 | acc=0.1031 | bsr=nan | agg=0.17s | det_auroc=1.000 | tpr@5=1.00
round  20 | acc=0.1106 | bsr=nan | agg=0.16s | det_auroc=1.000 | tpr@5=1.00
round  21 | acc=0.1219 | bsr=nan | agg=0.17s | det_auroc=1.000 | tpr@5=1.00
round  22 | acc=0.1369 | bsr=nan | agg=0.17s | det_auroc=1.000 | tpr@5=1.00
round  23 | acc=0.1572 | bsr=nan | agg=0.15s | det_auroc=1.000 | tpr@5=1.00
round  24 | acc=0.1795 | bsr=nan | agg=0.17s | det_auroc=1.000 | tpr@5=1.00
round  25 | acc=0.2025 | bsr=nan | agg=0.15s | det_auroc=1.000 | tpr@5=1.00
round  26 | acc=0.2378 | bsr=nan | agg=0.17s | det_auroc=1.000 | tpr@5=1.00
round  27 | acc=0.2750 | bsr=nan | agg=0.15s | det_auroc=1.000 | tpr@5=1.00
round  28 | acc=0.3139 | bsr=nan | agg=0.17s | det_auroc=1.000 | tpr@5=1.00
round  29 | acc=0.3460 | bsr=nan | agg=0.17s | det_auroc=1.000 | tpr@5=1.00
round  30 | acc=0.3781 | bsr=nan | agg=0.17s | det_auroc=1.000 | tpr@5=1.00
round  31 | acc=0.4034 | bsr=nan | agg=0.16s | det_auroc=1.000 | tpr@5=1.00
round  32 | acc=0.4245 | bsr=nan | agg=0.17s | det_auroc=1.000 | tpr@5=1.00
round  33 | acc=0.4367 | bsr=nan | agg=0.17s | det_auroc=1.000 | tpr@5=1.00
round  34 | acc=0.4486 | bsr=nan | agg=0.15s | det_auroc=1.000 | tpr@5=1.00
round  35 | acc=0.4560 | bsr=nan | agg=0.16s | det_auroc=1.000 | tpr@5=1.00
round  36 | acc=0.4645 | bsr=nan | agg=0.16s | det_auroc=1.000 | tpr@5=1.00
round  37 | acc=0.4708 | bsr=nan | agg=0.16s | det_auroc=1.000 | tpr@5=1.00
round  38 | acc=0.4779 | bsr=nan | agg=0.16s | det_auroc=1.000 | tpr@5=1.00
round  39 | acc=0.4861 | bsr=nan | agg=0.17s | det_auroc=1.000 | tpr@5=1.00
round  40 | acc=0.4906 | bsr=nan | agg=0.17s | det_auroc=1.000 | tpr@5=1.00
round  41 | acc=0.4930 | bsr=nan | agg=0.16s | det_auroc=1.000 | tpr@5=1.00
round  42 | acc=0.4954 | bsr=nan | agg=0.16s | det_auroc=1.000 | tpr@5=1.00
round  43 | acc=0.4991 | bsr=nan | agg=0.14s | det_auroc=1.000 | tpr@5=1.00
round  44 | acc=0.5013 | bsr=nan | agg=0.15s | det_auroc=1.000 | tpr@5=1.00
round  45 | acc=0.5031 | bsr=nan | agg=0.14s | det_auroc=1.000 | tpr@5=1.00
round  46 | acc=0.5007 | bsr=nan | agg=0.15s | det_auroc=1.000 | tpr@5=1.00
round  47 | acc=0.5022 | bsr=nan | agg=0.16s | det_auroc=1.000 | tpr@5=1.00
round  48 | acc=0.5034 | bsr=nan | agg=0.17s | det_auroc=1.000 | tpr@5=1.00
round  49 | acc=0.5053 | bsr=nan | agg=0.16s | det_auroc=1.000 | tpr@5=1.00
round  50 | acc=0.5067 | bsr=nan | agg=0.14s | det_auroc=1.000 | tpr@5=1.00
round  51 | acc=0.5056 | bsr=nan | agg=0.16s | det_auroc=1.000 | tpr@5=1.00
round  52 | acc=0.5061 | bsr=nan | agg=0.16s | det_auroc=1.000 | tpr@5=1.00
round  53 | acc=0.5090 | bsr=nan | agg=0.17s | det_auroc=1.000 | tpr@5=1.00
round  54 | acc=0.5141 | bsr=nan | agg=0.17s | det_auroc=1.000 | tpr@5=1.00
round  55 | acc=0.5176 | bsr=nan | agg=0.16s | det_auroc=1.000 | tpr@5=1.00
round  56 | acc=0.5232 | bsr=nan | agg=0.17s | det_auroc=1.000 | tpr@5=1.00
round  57 | acc=0.5288 | bsr=nan | agg=0.16s | det_auroc=1.000 | tpr@5=1.00
round  58 | acc=0.5321 | bsr=nan | agg=0.15s | det_auroc=1.000 | tpr@5=1.00
round  59 | acc=0.5421 | bsr=nan | agg=0.16s | det_auroc=1.000 | tpr@5=1.00
round  60 | acc=0.5497 | bsr=nan | agg=0.17s | det_auroc=1.000 | tpr@5=1.00
