Some weights of the model checkpoint at distilbert-base-uncased were not used when initializing DistilBertModel: ['vocab_projector.bias', 'vocab_transform.weight', 'vocab_layer_norm.bias', 'vocab_transform.bias', 'vocab_layer_norm.weight']
- This IS expected if you are initializing DistilBertModel from the checkpoint of a model trained on another task or with another architecture (e.g. initializing a BertForSequenceClassification model from a BertForPreTraining model).
- This IS NOT expected if you are initializing DistilBertModel from the checkpoint of a model that you expect to be exactly identical (initializing a BertForSequenceClassification model from a BertForSequenceClassification model).
device=cuda dataset=imdb(real) clients=20 malicious=4 defense=median attack=min_max
round   1 | acc=0.5000 | bsr=nan | agg=0.24s
round   2 | acc=0.5000 | bsr=nan | agg=0.24s
round   3 | acc=0.5000 | bsr=nan | agg=0.24s
round   4 | acc=0.5000 | bsr=nan | agg=0.26s
round   5 | acc=0.5000 | bsr=nan | agg=0.24s
round   6 | acc=0.5000 | bsr=nan | agg=0.24s
round   7 | acc=0.5000 | bsr=nan | agg=0.23s
round   8 | acc=0.5001 | bsr=nan | agg=0.25s
round   9 | acc=0.5022 | bsr=nan | agg=0.24s
round  10 | acc=0.5018 | bsr=nan | agg=0.26s
round  11 | acc=0.5066 | bsr=nan | agg=0.25s
round  12 | acc=0.5096 | bsr=nan | agg=0.26s
round  13 | acc=0.5266 | bsr=nan | agg=0.25s
round  14 | acc=0.5210 | bsr=nan | agg=0.26s
round  15 | acc=0.5542 | bsr=nan | agg=0.25s
round  16 | acc=0.5270 | bsr=nan | agg=0.26s
round  17 | acc=0.5543 | bsr=nan | agg=0.26s
round  18 | acc=0.6070 | bsr=nan | agg=0.26s
round  19 | acc=0.5653 | bsr=nan | agg=0.26s
round  20 | acc=0.5692 | bsr=nan | agg=0.25s
round  21 | acc=0.5828 | bsr=nan | agg=0.26s
round  22 | acc=0.5898 | bsr=nan | agg=0.25s
round  23 | acc=0.5897 | bsr=nan | agg=0.26s
round  24 | acc=0.5776 | bsr=nan | agg=0.26s
round  25 | acc=0.6131 | bsr=nan | agg=0.26s
round  26 | acc=0.6379 | bsr=nan | agg=0.26s
round  27 | acc=0.6232 | bsr=nan | agg=0.26s
round  28 | acc=0.6006 | bsr=nan | agg=0.26s
round  29 | acc=0.6117 | bsr=nan | agg=0.25s
round  30 | acc=0.6008 | bsr=nan | agg=0.26s
