Some weights of the model checkpoint at distilbert-base-uncased were not used when initializing DistilBertModel: ['vocab_transform.bias', 'vocab_layer_norm.weight', 'vocab_layer_norm.bias', 'vocab_projector.bias', 'vocab_transform.weight']
- This IS expected if you are initializing DistilBertModel from the checkpoint of a model trained on another task or with another architecture (e.g. initializing a BertForSequenceClassification model from a BertForPreTraining model).
- This IS NOT expected if you are initializing DistilBertModel from the checkpoint of a model that you expect to be exactly identical (initializing a BertForSequenceClassification model from a BertForSequenceClassification model).
device=cuda dataset=imdb(real) clients=20 malicious=4 defense=fedavg attack=sign_flip
round   1 | acc=0.5000 | bsr=nan | agg=0.01s
round   2 | acc=0.7632 | bsr=nan | agg=0.01s
round   3 | acc=0.5143 | bsr=nan | agg=0.01s
round   4 | acc=0.6591 | bsr=nan | agg=0.01s
round   5 | acc=0.5090 | bsr=nan | agg=0.01s
round   6 | acc=0.6956 | bsr=nan | agg=0.01s
round   7 | acc=0.5008 | bsr=nan | agg=0.01s
round   8 | acc=0.7855 | bsr=nan | agg=0.01s
round   9 | acc=0.5450 | bsr=nan | agg=0.01s
round  10 | acc=0.7684 | bsr=nan | agg=0.01s
round  11 | acc=0.5660 | bsr=nan | agg=0.01s
round  12 | acc=0.7824 | bsr=nan | agg=0.01s
round  13 | acc=0.5690 | bsr=nan | agg=0.01s
round  14 | acc=0.7930 | bsr=nan | agg=0.01s
round  15 | acc=0.5372 | bsr=nan | agg=0.01s
round  16 | acc=0.7741 | bsr=nan | agg=0.01s
round  17 | acc=0.5991 | bsr=nan | agg=0.01s
round  18 | acc=0.7958 | bsr=nan | agg=0.01s
round  19 | acc=0.5534 | bsr=nan | agg=0.01s
round  20 | acc=0.7965 | bsr=nan | agg=0.01s
round  21 | acc=0.5548 | bsr=nan | agg=0.01s
round  22 | acc=0.7959 | bsr=nan | agg=0.01s
round  23 | acc=0.5874 | bsr=nan | agg=0.01s
round  24 | acc=0.7897 | bsr=nan | agg=0.01s
round  25 | acc=0.6215 | bsr=nan | agg=0.01s
round  26 | acc=0.7782 | bsr=nan | agg=0.01s
round  27 | acc=0.6075 | bsr=nan | agg=0.01s
round  28 | acc=0.7762 | bsr=nan | agg=0.01s
round  29 | acc=0.6236 | bsr=nan | agg=0.01s
round  30 | acc=0.7801 | bsr=nan | agg=0.01s
