Some weights of the model checkpoint at distilbert-base-uncased were not used when initializing DistilBertModel: ['vocab_transform.bias', 'vocab_layer_norm.weight', 'vocab_layer_norm.bias', 'vocab_projector.bias', 'vocab_transform.weight']
- This IS expected if you are initializing DistilBertModel from the checkpoint of a model trained on another task or with another architecture (e.g. initializing a BertForSequenceClassification model from a BertForPreTraining model).
- This IS NOT expected if you are initializing DistilBertModel from the checkpoint of a model that you expect to be exactly identical (initializing a BertForSequenceClassification model from a BertForSequenceClassification model).
device=cuda dataset=imdb(real) clients=20 malicious=4 defense=median attack=gaussian
round   1 | acc=0.5001 | bsr=nan | agg=0.26s
round   2 | acc=0.6026 | bsr=nan | agg=0.26s
round   3 | acc=0.5608 | bsr=nan | agg=0.27s
round   4 | acc=0.5230 | bsr=nan | agg=0.26s
round   5 | acc=0.7313 | bsr=nan | agg=0.25s
round   6 | acc=0.6656 | bsr=nan | agg=0.26s
round   7 | acc=0.6716 | bsr=nan | agg=0.25s
round   8 | acc=0.6972 | bsr=nan | agg=0.26s
round   9 | acc=0.7554 | bsr=nan | agg=0.25s
round  10 | acc=0.6799 | bsr=nan | agg=0.26s
round  11 | acc=0.7026 | bsr=nan | agg=0.26s
round  12 | acc=0.7164 | bsr=nan | agg=0.26s
round  13 | acc=0.7244 | bsr=nan | agg=0.26s
round  14 | acc=0.7030 | bsr=nan | agg=0.26s
round  15 | acc=0.7181 | bsr=nan | agg=0.26s
round  16 | acc=0.7130 | bsr=nan | agg=0.27s
round  17 | acc=0.7182 | bsr=nan | agg=0.26s
round  18 | acc=0.7461 | bsr=nan | agg=0.25s
round  19 | acc=0.7239 | bsr=nan | agg=0.26s
round  20 | acc=0.7317 | bsr=nan | agg=0.26s
round  21 | acc=0.7722 | bsr=nan | agg=0.26s
round  22 | acc=0.7375 | bsr=nan | agg=0.25s
round  23 | acc=0.7506 | bsr=nan | agg=0.26s
round  24 | acc=0.7203 | bsr=nan | agg=0.27s
round  25 | acc=0.7668 | bsr=nan | agg=0.26s
round  26 | acc=0.7653 | bsr=nan | agg=0.26s
round  27 | acc=0.7403 | bsr=nan | agg=0.26s
round  28 | acc=0.7448 | bsr=nan | agg=0.27s
round  29 | acc=0.7335 | bsr=nan | agg=0.26s
round  30 | acc=0.7808 | bsr=nan | agg=0.26s
