Some weights of the model checkpoint at distilbert-base-uncased were not used when initializing DistilBertModel: ['vocab_projector.bias', 'vocab_layer_norm.weight', 'vocab_layer_norm.bias', 'vocab_transform.weight', 'vocab_transform.bias']
- This IS expected if you are initializing DistilBertModel from the checkpoint of a model trained on another task or with another architecture (e.g. initializing a BertForSequenceClassification model from a BertForPreTraining model).
- This IS NOT expected if you are initializing DistilBertModel from the checkpoint of a model that you expect to be exactly identical (initializing a BertForSequenceClassification model from a BertForSequenceClassification model).
device=cuda dataset=imdb(real) clients=20 malicious=4 defense=ecf attack=gaussian
round   1 | acc=0.5000 | bsr=nan | agg=2.88s | det_auroc=0.000 | tpr@5=0.00
round   2 | acc=0.5000 | bsr=nan | agg=2.89s | det_auroc=0.000 | tpr@5=0.00
round   3 | acc=0.5000 | bsr=nan | agg=2.89s | det_auroc=0.000 | tpr@5=0.00
round   4 | acc=0.5000 | bsr=nan | agg=2.89s | det_auroc=0.000 | tpr@5=0.00
round   5 | acc=0.5013 | bsr=nan | agg=2.89s | det_auroc=0.000 | tpr@5=0.00
round   6 | acc=0.5132 | bsr=nan | agg=2.89s | det_auroc=0.000 | tpr@5=0.00
round   7 | acc=0.5324 | bsr=nan | agg=2.88s | det_auroc=0.000 | tpr@5=0.00
round   8 | acc=0.5428 | bsr=nan | agg=2.89s | det_auroc=0.000 | tpr@5=0.00
round   9 | acc=0.5547 | bsr=nan | agg=2.89s | det_auroc=0.000 | tpr@5=0.00
round  10 | acc=0.5708 | bsr=nan | agg=2.88s | det_auroc=0.000 | tpr@5=0.00
round  11 | acc=0.5732 | bsr=nan | agg=2.89s | det_auroc=0.000 | tpr@5=0.00
round  12 | acc=0.5872 | bsr=nan | agg=2.88s | det_auroc=0.000 | tpr@5=0.00
round  13 | acc=0.5912 | bsr=nan | agg=2.88s | det_auroc=0.000 | tpr@5=0.00
round  14 | acc=0.6014 | bsr=nan | agg=2.88s | det_auroc=0.000 | tpr@5=0.00
round  15 | acc=0.6076 | bsr=nan | agg=2.89s | det_auroc=0.000 | tpr@5=0.00
round  16 | acc=0.6188 | bsr=nan | agg=2.88s | det_auroc=0.000 | tpr@5=0.00
round  17 | acc=0.6199 | bsr=nan | agg=2.88s | det_auroc=0.000 | tpr@5=0.00
round  18 | acc=0.6214 | bsr=nan | agg=2.89s | det_auroc=0.000 | tpr@5=0.00
round  19 | acc=0.6367 | bsr=nan | agg=2.88s | det_auroc=0.000 | tpr@5=0.00
round  20 | acc=0.6668 | bsr=nan | agg=2.88s | det_auroc=0.000 | tpr@5=0.00
round  21 | acc=0.6911 | bsr=nan | agg=2.89s | det_auroc=0.000 | tpr@5=0.00
round  22 | acc=0.6798 | bsr=nan | agg=2.88s | det_auroc=0.000 | tpr@5=0.00
round  23 | acc=0.6975 | bsr=nan | agg=2.89s | det_auroc=0.000 | tpr@5=0.00
round  24 | acc=0.7357 | bsr=nan | agg=2.89s | det_auroc=0.000 | tpr@5=0.00
round  25 | acc=0.7408 | bsr=nan | agg=2.89s | det_auroc=0.000 | tpr@5=0.00
round  26 | acc=0.7289 | bsr=nan | agg=2.89s | det_auroc=0.000 | tpr@5=0.00
round  27 | acc=0.7400 | bsr=nan | agg=2.89s | det_auroc=0.000 | tpr@5=0.00
round  28 | acc=0.7237 | bsr=nan | agg=2.88s | det_auroc=0.000 | tpr@5=0.00
round  29 | acc=0.7194 | bsr=nan | agg=2.88s | det_auroc=0.000 | tpr@5=0.00
round  30 | acc=0.7174 | bsr=nan | agg=2.88s | det_auroc=0.000 | tpr@5=0.00
