Some weights of the model checkpoint at distilbert-base-uncased were not used when initializing DistilBertModel: ['vocab_projector.bias', 'vocab_transform.bias', 'vocab_transform.weight', 'vocab_layer_norm.bias', 'vocab_layer_norm.weight']
- This IS expected if you are initializing DistilBertModel from the checkpoint of a model trained on another task or with another architecture (e.g. initializing a BertForSequenceClassification model from a BertForPreTraining model).
- This IS NOT expected if you are initializing DistilBertModel from the checkpoint of a model that you expect to be exactly identical (initializing a BertForSequenceClassification model from a BertForSequenceClassification model).
device=cuda dataset=imdb(real) clients=20 malicious=4 defense=ecf attack=adaptive_ecf
round   1 | acc=0.6612 | bsr=0.614 | agg=2.84s | det_auroc=0.547 | tpr@5=0.00
round   2 | acc=0.6359 | bsr=0.707 | agg=2.84s | det_auroc=0.375 | tpr@5=0.00
round   3 | acc=0.6266 | bsr=0.741 | agg=2.84s | det_auroc=0.391 | tpr@5=0.00
round   4 | acc=0.6979 | bsr=0.549 | agg=2.83s | det_auroc=0.422 | tpr@5=0.00
round   5 | acc=0.7341 | bsr=0.443 | agg=2.83s | det_auroc=0.438 | tpr@5=0.00
round   6 | acc=0.7584 | bsr=0.335 | agg=2.83s | det_auroc=0.438 | tpr@5=0.00
round   7 | acc=0.7735 | bsr=0.235 | agg=2.83s | det_auroc=0.438 | tpr@5=0.00
round   8 | acc=0.7752 | bsr=0.210 | agg=2.83s | det_auroc=0.438 | tpr@5=0.00
round   9 | acc=0.7701 | bsr=0.163 | agg=2.83s | det_auroc=0.438 | tpr@5=0.00
round  10 | acc=0.7662 | bsr=0.140 | agg=2.83s | det_auroc=0.438 | tpr@5=0.00
round  11 | acc=0.7596 | bsr=0.125 | agg=2.83s | det_auroc=0.438 | tpr@5=0.00
round  12 | acc=0.7591 | bsr=0.120 | agg=2.83s | det_auroc=0.438 | tpr@5=0.00
round  13 | acc=0.7587 | bsr=0.116 | agg=2.83s | det_auroc=0.438 | tpr@5=0.00
round  14 | acc=0.7654 | bsr=0.125 | agg=2.83s | det_auroc=0.500 | tpr@5=0.00
round  15 | acc=0.7706 | bsr=0.134 | agg=2.83s | det_auroc=0.469 | tpr@5=0.00
round  16 | acc=0.7640 | bsr=0.117 | agg=2.83s | det_auroc=0.469 | tpr@5=0.00
round  17 | acc=0.7687 | bsr=0.126 | agg=2.83s | det_auroc=0.484 | tpr@5=0.00
round  18 | acc=0.7692 | bsr=0.125 | agg=2.83s | det_auroc=0.469 | tpr@5=0.00
round  19 | acc=0.7696 | bsr=0.124 | agg=2.84s | det_auroc=0.484 | tpr@5=0.00
round  20 | acc=0.7677 | bsr=0.118 | agg=2.84s | det_auroc=0.469 | tpr@5=0.00
round  21 | acc=0.7710 | bsr=0.123 | agg=2.83s | det_auroc=0.469 | tpr@5=0.00
round  22 | acc=0.7678 | bsr=0.113 | agg=2.83s | det_auroc=0.453 | tpr@5=0.00
round  23 | acc=0.7779 | bsr=0.133 | agg=2.83s | det_auroc=0.500 | tpr@5=0.00
round  24 | acc=0.7746 | bsr=0.126 | agg=2.83s | det_auroc=0.484 | tpr@5=0.00
round  25 | acc=0.7791 | bsr=0.134 | agg=2.83s | det_auroc=0.469 | tpr@5=0.00
round  26 | acc=0.7813 | bsr=0.139 | agg=2.82s | det_auroc=0.469 | tpr@5=0.00
round  27 | acc=0.7793 | bsr=0.132 | agg=2.83s | det_auroc=0.469 | tpr@5=0.00
round  28 | acc=0.7744 | bsr=0.119 | agg=2.83s | det_auroc=0.469 | tpr@5=0.00
round  29 | acc=0.7736 | bsr=0.116 | agg=2.83s | det_auroc=0.469 | tpr@5=0.00
round  30 | acc=0.7788 | bsr=0.124 | agg=2.83s | det_auroc=0.469 | tpr@5=0.00
