Some weights of the model checkpoint at distilbert-base-uncased were not used when initializing DistilBertModel: ['vocab_layer_norm.weight', 'vocab_transform.weight', 'vocab_layer_norm.bias', 'vocab_projector.bias', 'vocab_transform.bias']
- This IS expected if you are initializing DistilBertModel from the checkpoint of a model trained on another task or with another architecture (e.g. initializing a BertForSequenceClassification model from a BertForPreTraining model).
- This IS NOT expected if you are initializing DistilBertModel from the checkpoint of a model that you expect to be exactly identical (initializing a BertForSequenceClassification model from a BertForSequenceClassification model).
device=cuda dataset=imdb(real) clients=20 malicious=4 defense=median attack=lie
round   1 | acc=0.5000 | bsr=nan | agg=0.23s
round   2 | acc=0.7528 | bsr=nan | agg=0.22s
round   3 | acc=0.5241 | bsr=nan | agg=0.24s
round   4 | acc=0.5750 | bsr=nan | agg=0.24s
round   5 | acc=0.7266 | bsr=nan | agg=0.24s
round   6 | acc=0.6520 | bsr=nan | agg=0.24s
round   7 | acc=0.6924 | bsr=nan | agg=0.24s
round   8 | acc=0.7336 | bsr=nan | agg=0.24s
round   9 | acc=0.7550 | bsr=nan | agg=0.24s
round  10 | acc=0.6816 | bsr=nan | agg=0.24s
round  11 | acc=0.7150 | bsr=nan | agg=0.25s
round  12 | acc=0.7263 | bsr=nan | agg=0.24s
round  13 | acc=0.7538 | bsr=nan | agg=0.24s
round  14 | acc=0.7134 | bsr=nan | agg=0.24s
round  15 | acc=0.7231 | bsr=nan | agg=0.25s
round  16 | acc=0.7160 | bsr=nan | agg=0.25s
round  17 | acc=0.7288 | bsr=nan | agg=0.25s
round  18 | acc=0.7469 | bsr=nan | agg=0.25s
round  19 | acc=0.7386 | bsr=nan | agg=0.24s
round  20 | acc=0.7205 | bsr=nan | agg=0.24s
round  21 | acc=0.7677 | bsr=nan | agg=0.24s
round  22 | acc=0.7382 | bsr=nan | agg=0.24s
round  23 | acc=0.7467 | bsr=nan | agg=0.24s
round  24 | acc=0.7268 | bsr=nan | agg=0.24s
round  25 | acc=0.7753 | bsr=nan | agg=0.24s
round  26 | acc=0.7614 | bsr=nan | agg=0.24s
round  27 | acc=0.7312 | bsr=nan | agg=0.24s
round  28 | acc=0.7517 | bsr=nan | agg=0.25s
round  29 | acc=0.7389 | bsr=nan | agg=0.24s
round  30 | acc=0.7645 | bsr=nan | agg=0.25s
