dataset,attack,defense,rounds,final_acc,final_bsr,peak_bsr,final_auroc,final_tpr,mean_agg_s,total_agg_s
fmnist,adaptive_ecf,ecf_base,60,0.8104,0.3900,0.4840,0.3280,0.0000,0.1195,7.1700
fmnist,adaptive_ecf,ecf_bdoor,60,0.8132,0.3170,0.5380,0.9060,0.0000,2.5742,154.4500
fmnist,adaptive_ecf,ecf_cand,60,0.8076,0.0400,0.1480,1.0000,1.0000,0.1207,7.2400
fmnist,adaptive_ecf,fltrust,60,0.7954,0.0370,0.1150,0.9220,0.0000,0.0303,1.8200
fmnist,adaptive_ecf,median,60,0.8845,0.1100,0.4860,nan,nan,0.1885,11.3100
fmnist,adaptive_ecf,multi_krum,60,0.8834,0.5390,0.5390,0.0310,0.0000,0.8012,48.0700
fmnist,adaptive_ecf,trimmed_mean,60,0.8851,0.2130,0.5000,nan,nan,0.1960,11.7600
fmnist,backdoor,ecf_base,60,0.8099,0.4130,0.4840,0.3590,0.0000,0.1557,9.3400
fmnist,backdoor,ecf_bdoor,60,0.8109,0.3370,0.5370,0.9380,0.5000,2.6248,157.4900
fmnist,backdoor,ecf_cand,60,0.8078,0.0380,0.1480,1.0000,1.0000,0.1550,9.3000
fmnist,backdoor,fltrust,60,0.7956,0.0340,0.1140,0.9380,0.0000,0.0402,2.4100
fmnist,backdoor,median,60,0.8830,0.1340,0.4860,nan,nan,0.1998,11.9900
fmnist,backdoor,multi_krum,60,0.8837,0.0130,0.2280,1.0000,1.0000,0.8070,48.4200
fmnist,backdoor,trimmed_mean,60,0.8850,0.3320,0.5000,nan,nan,0.2000,12.0000
fmnist,constrained_backdoor,ecf_base,60,0.8105,0.3950,0.4840,0.3440,0.0000,0.1220,7.3200
fmnist,constrained_backdoor,ecf_bdoor,60,0.8123,0.3160,0.5380,0.8910,0.0000,2.5515,153.0900
fmnist,constrained_backdoor,ecf_cand,60,0.8091,0.0420,0.1490,1.0000,1.0000,0.1227,7.3600
fmnist,constrained_backdoor,fltrust,60,0.7958,0.0370,0.1150,0.8830,0.0000,0.0302,1.8100
fmnist,constrained_backdoor,median,60,0.8839,0.1260,0.4860,nan,nan,0.1927,11.5600
fmnist,constrained_backdoor,multi_krum,60,0.8845,0.0140,0.2280,1.0000,1.0000,0.8045,48.2700
fmnist,constrained_backdoor,trimmed_mean,60,0.8847,0.3130,0.5000,nan,nan,0.1927,11.5600
fmnist,gaussian,ecf_base,60,0.7971,nan,nan,0.0000,0.0000,0.1615,9.6900
fmnist,gaussian,ecf_bdoor,60,0.8009,nan,nan,0.5000,0.0000,2.6230,157.3800
fmnist,gaussian,ecf_cand,60,0.7968,nan,nan,0.0000,0.0000,0.1602,9.6100
fmnist,gaussian,fltrust,60,0.7963,nan,nan,0.6720,0.0000,0.0387,2.3200
fmnist,gaussian,median,60,0.8829,nan,nan,nan,nan,0.1893,11.3600
fmnist,gaussian,multi_krum,60,0.8850,nan,nan,1.0000,1.0000,0.7943,47.6600
fmnist,gaussian,trimmed_mean,60,0.8842,nan,nan,nan,nan,0.1957,11.7400
fmnist,label_flip,ecf_base,60,0.8142,nan,nan,1.0000,1.0000,0.1587,9.5200
fmnist,label_flip,ecf_bdoor,60,0.8104,nan,nan,1.0000,1.0000,2.6245,157.4700
fmnist,label_flip,ecf_cand,60,0.8079,nan,nan,1.0000,1.0000,0.1567,9.4000
fmnist,label_flip,fltrust,60,0.7970,nan,nan,0.8120,0.0000,0.0407,2.4400
fmnist,label_flip,median,60,0.8775,nan,nan,nan,nan,0.2027,12.1600
fmnist,label_flip,multi_krum,60,0.8846,nan,nan,1.0000,1.0000,0.8077,48.4600
fmnist,label_flip,trimmed_mean,60,0.8774,nan,nan,nan,nan,0.2022,12.1300
fmnist,lie,ecf_base,60,0.8192,nan,nan,0.9380,0.0000,0.1508,9.0500
fmnist,lie,ecf_bdoor,60,0.8164,nan,nan,1.0000,1.0000,2.5938,155.6300
fmnist,lie,ecf_cand,60,0.8164,nan,nan,0.6880,0.0000,0.1450,8.7000
fmnist,lie,fltrust,60,0.7968,nan,nan,0.8120,0.0000,0.0303,1.8200
fmnist,lie,median,60,0.8809,nan,nan,nan,nan,0.1625,9.7500
fmnist,lie,multi_krum,60,0.8811,nan,nan,0.8120,0.0000,0.7847,47.0800
fmnist,lie,trimmed_mean,60,0.8819,nan,nan,nan,nan,0.1630,9.7800
fmnist,min_max,ecf_base,60,0.7633,nan,nan,0.2500,0.0000,0.1268,7.6100
fmnist,min_max,ecf_bdoor,60,0.7736,nan,nan,0.1880,0.0000,2.5560,153.3600
fmnist,min_max,ecf_cand,60,0.7630,nan,nan,0.5620,0.0000,0.1233,7.4000
fmnist,min_max,fltrust,60,0.7962,nan,nan,0.8120,0.0000,0.0303,1.8200
fmnist,min_max,median,60,0.8512,nan,nan,nan,nan,0.1798,10.7900
fmnist,min_max,multi_krum,60,0.8849,nan,nan,1.0000,1.0000,0.8038,48.2300
fmnist,min_max,trimmed_mean,60,0.8437,nan,nan,nan,nan,0.1862,11.1700
