device=cuda dataset=fmnist(real) clients=20 malicious=4 defense=fltrust attack=adaptive_ecf
round   1 | acc=0.0667 | bsr=0.000 | agg=0.04s | det_auroc=0.953 | tpr@5=0.25
round   2 | acc=0.1157 | bsr=0.000 | agg=0.03s | det_auroc=1.000 | tpr@5=1.00
round   3 | acc=0.3562 | bsr=0.032 | agg=0.03s | det_auroc=1.000 | tpr@5=1.00
round   4 | acc=0.4478 | bsr=0.100 | agg=0.03s | det_auroc=0.969 | tpr@5=0.50
round   5 | acc=0.5521 | bsr=0.114 | agg=0.03s | det_auroc=0.969 | tpr@5=0.50
round   6 | acc=0.6527 | bsr=0.084 | agg=0.03s | det_auroc=0.969 | tpr@5=0.50
round   7 | acc=0.6750 | bsr=0.075 | agg=0.03s | det_auroc=1.000 | tpr@5=1.00
round   8 | acc=0.6728 | bsr=0.061 | agg=0.03s | det_auroc=1.000 | tpr@5=1.00
round   9 | acc=0.6740 | bsr=0.055 | agg=0.03s | det_auroc=1.000 | tpr@5=1.00
round  10 | acc=0.6842 | bsr=0.050 | agg=0.03s | det_auroc=1.000 | tpr@5=1.00
round  11 | acc=0.6946 | bsr=0.043 | agg=0.03s | det_auroc=0.984 | tpr@5=0.75
round  12 | acc=0.7026 | bsr=0.035 | agg=0.03s | det_auroc=1.000 | tpr@5=1.00
round  13 | acc=0.7139 | bsr=0.035 | agg=0.03s | det_auroc=1.000 | tpr@5=1.00
round  14 | acc=0.7260 | bsr=0.035 | agg=0.03s | det_auroc=0.984 | tpr@5=0.75
round  15 | acc=0.7284 | bsr=0.036 | agg=0.03s | det_auroc=1.000 | tpr@5=1.00
round  16 | acc=0.7327 | bsr=0.036 | agg=0.03s | det_auroc=0.984 | tpr@5=0.75
round  17 | acc=0.7362 | bsr=0.033 | agg=0.03s | det_auroc=1.000 | tpr@5=1.00
round  18 | acc=0.7411 | bsr=0.034 | agg=0.03s | det_auroc=0.984 | tpr@5=0.75
round  19 | acc=0.7441 | bsr=0.034 | agg=0.03s | det_auroc=0.938 | tpr@5=0.50
round  20 | acc=0.7449 | bsr=0.033 | agg=0.03s | det_auroc=0.984 | tpr@5=0.75
round  21 | acc=0.7472 | bsr=0.031 | agg=0.03s | det_auroc=0.961 | tpr@5=0.00
round  22 | acc=0.7492 | bsr=0.033 | agg=0.03s | det_auroc=0.953 | tpr@5=0.00
round  23 | acc=0.7490 | bsr=0.034 | agg=0.03s | det_auroc=0.906 | tpr@5=0.00
round  24 | acc=0.7539 | bsr=0.032 | agg=0.03s | det_auroc=0.984 | tpr@5=0.75
round  25 | acc=0.7562 | bsr=0.034 | agg=0.03s | det_auroc=0.867 | tpr@5=0.00
round  26 | acc=0.7592 | bsr=0.033 | agg=0.03s | det_auroc=0.961 | tpr@5=0.00
round  27 | acc=0.7528 | bsr=0.035 | agg=0.03s | det_auroc=0.906 | tpr@5=0.00
round  28 | acc=0.7602 | bsr=0.035 | agg=0.03s | det_auroc=0.852 | tpr@5=0.00
round  29 | acc=0.7583 | bsr=0.033 | agg=0.03s | det_auroc=0.969 | tpr@5=0.00
round  30 | acc=0.7603 | bsr=0.033 | agg=0.03s | det_auroc=0.969 | tpr@5=0.50
round  31 | acc=0.7671 | bsr=0.033 | agg=0.03s | det_auroc=0.852 | tpr@5=0.00
round  32 | acc=0.7688 | bsr=0.035 | agg=0.03s | det_auroc=0.945 | tpr@5=0.00
round  33 | acc=0.7686 | bsr=0.032 | agg=0.04s | det_auroc=0.906 | tpr@5=0.00
round  34 | acc=0.7694 | bsr=0.033 | agg=0.03s | det_auroc=0.961 | tpr@5=0.00
round  35 | acc=0.7726 | bsr=0.030 | agg=0.03s | det_auroc=0.922 | tpr@5=0.00
round  36 | acc=0.7730 | bsr=0.036 | agg=0.03s | det_auroc=0.828 | tpr@5=0.00
round  37 | acc=0.7781 | bsr=0.034 | agg=0.03s | det_auroc=0.906 | tpr@5=0.00
round  38 | acc=0.7750 | bsr=0.034 | agg=0.03s | det_auroc=0.945 | tpr@5=0.00
round  39 | acc=0.7759 | bsr=0.034 | agg=0.03s | det_auroc=0.969 | tpr@5=0.00
round  40 | acc=0.7756 | bsr=0.034 | agg=0.03s | det_auroc=0.922 | tpr@5=0.00
round  41 | acc=0.7787 | bsr=0.031 | agg=0.03s | det_auroc=0.922 | tpr@5=0.00
round  42 | acc=0.7839 | bsr=0.033 | agg=0.03s | det_auroc=0.961 | tpr@5=0.00
round  43 | acc=0.7844 | bsr=0.031 | agg=0.03s | det_auroc=0.961 | tpr@5=0.00
round  44 | acc=0.7812 | bsr=0.031 | agg=0.03s | det_auroc=0.898 | tpr@5=0.00
round  45 | acc=0.7860 | bsr=0.032 | agg=0.03s | det_auroc=0.922 | tpr@5=0.00
round  46 | acc=0.7784 | bsr=0.036 | agg=0.03s | det_auroc=0.906 | tpr@5=0.00
round  47 | acc=0.7867 | bsr=0.031 | agg=0.03s | det_auroc=0.883 | tpr@5=0.00
round  48 | acc=0.7884 | bsr=0.037 | agg=0.03s | det_auroc=0.828 | tpr@5=0.00
round  49 | acc=0.7897 | bsr=0.036 | agg=0.03s | det_auroc=0.969 | tpr@5=0.00
round  50 | acc=0.7899 | bsr=0.036 | agg=0.03s | det_auroc=0.961 | tpr@5=0.00
round  51 | acc=0.7897 | bsr=0.037 | agg=0.03s | det_auroc=0.680 | tpr@5=0.00
round  52 | acc=0.7924 | bsr=0.036 | agg=0.03s | det_auroc=0.883 | tpr@5=0.00
round  53 | acc=0.7957 | bsr=0.033 | agg=0.03s | det_auroc=0.875 | tpr@5=0.00
round  54 | acc=0.7957 | bsr=0.034 | agg=0.03s | det_auroc=0.812 | tpr@5=0.00
round  55 | acc=0.7952 | bsr=0.039 | agg=0.03s | det_auroc=0.812 | tpr@5=0.00
round  56 | acc=0.7964 | bsr=0.033 | agg=0.03s | det_auroc=0.938 | tpr@5=0.00
round  57 | acc=0.7959 | bsr=0.039 | agg=0.03s | det_auroc=0.828 | tpr@5=0.00
round  58 | acc=0.7997 | bsr=0.040 | agg=0.03s | det_auroc=0.766 | tpr@5=0.00
round  59 | acc=0.7974 | bsr=0.037 | agg=0.03s | det_auroc=0.969 | tpr@5=0.00
round  60 | acc=0.7958 | bsr=0.037 | agg=0.03s | det_auroc=0.930 | tpr@5=0.00
