device=cuda dataset=fmnist(real) clients=20 malicious=4 defense=ecf attack=backdoor
round   1 | acc=0.0633 | bsr=0.000 | agg=0.16s | det_auroc=0.812 | tpr@5=0.00
round   2 | acc=0.1112 | bsr=0.000 | agg=0.15s | det_auroc=0.859 | tpr@5=0.00
round   3 | acc=0.3333 | bsr=0.050 | agg=0.13s | det_auroc=0.891 | tpr@5=0.25
round   4 | acc=0.4855 | bsr=0.148 | agg=0.15s | det_auroc=0.922 | tpr@5=0.50
round   5 | acc=0.6021 | bsr=0.138 | agg=0.16s | det_auroc=0.922 | tpr@5=0.50
round   6 | acc=0.6786 | bsr=0.095 | agg=0.16s | det_auroc=0.938 | tpr@5=0.50
round   7 | acc=0.6875 | bsr=0.078 | agg=0.16s | det_auroc=0.969 | tpr@5=0.50
round   8 | acc=0.6890 | bsr=0.062 | agg=0.15s | det_auroc=0.906 | tpr@5=0.25
round   9 | acc=0.6846 | bsr=0.065 | agg=0.15s | det_auroc=0.859 | tpr@5=0.25
round  10 | acc=0.6803 | bsr=0.064 | agg=0.15s | det_auroc=0.797 | tpr@5=0.00
round  11 | acc=0.6939 | bsr=0.073 | agg=0.17s | det_auroc=0.766 | tpr@5=0.00
round  12 | acc=0.6994 | bsr=0.069 | agg=0.15s | det_auroc=0.734 | tpr@5=0.00
round  13 | acc=0.7125 | bsr=0.071 | agg=0.15s | det_auroc=0.719 | tpr@5=0.00
round  14 | acc=0.7225 | bsr=0.071 | agg=0.16s | det_auroc=0.719 | tpr@5=0.00
round  15 | acc=0.7262 | bsr=0.076 | agg=0.14s | det_auroc=0.562 | tpr@5=0.00
round  16 | acc=0.7292 | bsr=0.077 | agg=0.16s | det_auroc=0.547 | tpr@5=0.00
round  17 | acc=0.7366 | bsr=0.080 | agg=0.14s | det_auroc=0.516 | tpr@5=0.00
round  18 | acc=0.7411 | bsr=0.082 | agg=0.16s | det_auroc=0.500 | tpr@5=0.00
round  19 | acc=0.7462 | bsr=0.086 | agg=0.15s | det_auroc=0.469 | tpr@5=0.00
round  20 | acc=0.7472 | bsr=0.087 | agg=0.16s | det_auroc=0.469 | tpr@5=0.00
round  21 | acc=0.7517 | bsr=0.090 | agg=0.16s | det_auroc=0.422 | tpr@5=0.00
round  22 | acc=0.7540 | bsr=0.097 | agg=0.16s | det_auroc=0.406 | tpr@5=0.00
round  23 | acc=0.7558 | bsr=0.101 | agg=0.14s | det_auroc=0.484 | tpr@5=0.00
round  24 | acc=0.7581 | bsr=0.100 | agg=0.16s | det_auroc=0.328 | tpr@5=0.00
round  25 | acc=0.7595 | bsr=0.106 | agg=0.16s | det_auroc=0.328 | tpr@5=0.00
round  26 | acc=0.7583 | bsr=0.112 | agg=0.15s | det_auroc=0.359 | tpr@5=0.00
round  27 | acc=0.7610 | bsr=0.116 | agg=0.14s | det_auroc=0.328 | tpr@5=0.00
round  28 | acc=0.7640 | bsr=0.120 | agg=0.18s | det_auroc=0.344 | tpr@5=0.00
round  29 | acc=0.7659 | bsr=0.116 | agg=0.16s | det_auroc=0.359 | tpr@5=0.00
round  30 | acc=0.7676 | bsr=0.120 | agg=0.15s | det_auroc=0.281 | tpr@5=0.00
round  31 | acc=0.7708 | bsr=0.125 | agg=0.15s | det_auroc=0.328 | tpr@5=0.00
round  32 | acc=0.7727 | bsr=0.135 | agg=0.16s | det_auroc=0.312 | tpr@5=0.00
round  33 | acc=0.7763 | bsr=0.143 | agg=0.16s | det_auroc=0.219 | tpr@5=0.00
